 format: day,hour,forecast,value  location:60_127 Start : 20210701 
1,1100.0,19.0,2.4
1,1100.0,20.0,2.7
1,1100.0,21.0,2.8
1,1100.0,22.0,3.0
1,1100.0,23.0,3.0
1,1100.0,24.0,2.8
1,1100.0,25.0,2.7
1,1100.0,26.0,2.5
1,1100.0,27.0,2.7
1,1100.0,28.0,2.5
1,1100.0,29.0,2.1
1,1100.0,30.0,2.0
1,1100.0,31.0,2.0
1,1100.0,32.0,1.8
1,1100.0,33.0,1.8
1,1100.0,34.0,2.4
1,1100.0,35.0,2.0
1,1100.0,36.0,2.8
1,1100.0,37.0,3.5
1,1100.0,38.0,3.9
1,1100.0,39.0,3.8
1,1100.0,40.0,4.4
1,1100.0,41.0,4.4
1,1100.0,42.0,4.5
1,1100.0,43.0,3.9
1,1100.0,44.0,4.9
1,1100.0,45.0,5.4
1,1100.0,46.0,5.2
1,1100.0,47.0,5.7
1,1100.0,48.0,6.0
1,1100.0,49.0,5.4
1,1100.0,50.0,5.2
1,1100.0,51.0,5.1
1,1100.0,52.0,5.3
1,1100.0,53.0,5.3
1,1100.0,54.0,4.2
1,1100.0,55.0,3.8
1,1100.0,56.0,4.3
1,1100.0,57.0,4.0
1,1100.0,58.0,4.2
1,1100.0,59.0,4.6
1,1100.0,60.0,4.5
1,1100.0,61.0,4.4
1,1100.0,62.0,4.3
1,1100.0,63.0,5.6
1,1100.0,64.0,5.1
1,1100.0,65.0,4.4
1,1100.0,66.0,4.2
1,1100.0,67.0,4.2
1,1100.0,68.0,4.1
1,1100.0,69.0,3.5
1,1100.0,70.0,3.3
1,1100.0,71.0,2.5
1,1100.0,72.0,1.3
1,1100.0,73.0,1.1
1,1100.0,74.0,1.0
1,1100.0,75.0,0.9
1,1100.0,76.0,1.0
1,1400.0,6.0,1.6
1,1400.0,7.0,1.3
1,1400.0,8.0,1.6
1,1400.0,9.0,1.5
1,1400.0,10.0,0.6
1,1400.0,11.0,1.3
1,1400.0,12.0,1.6
1,1400.0,13.0,1.3
1,1400.0,14.0,1.6
1,1400.0,15.0,2.1
1,1400.0,16.0,2.4
1,1400.0,17.0,2.7
1,1400.0,18.0,2.8
1,1400.0,19.0,3.0
1,1400.0,20.0,3.0
1,1400.0,21.0,2.8
1,1400.0,22.0,2.7
1,1400.0,23.0,2.5
1,1400.0,24.0,2.7
1,1400.0,25.0,2.5
1,1400.0,26.0,2.1
1,1400.0,27.0,2.0
1,1400.0,28.0,2.0
1,1400.0,29.0,1.8
1,1400.0,30.0,1.8
1,1400.0,31.0,2.4
1,1400.0,32.0,2.0
1,1400.0,33.0,2.8
1,1400.0,34.0,3.5
1,1400.0,35.0,3.9
1,1400.0,36.0,3.8
1,1400.0,37.0,4.4
1,1400.0,38.0,4.4
1,1400.0,39.0,4.5
1,1400.0,40.0,3.9
1,1400.0,41.0,4.9
1,1400.0,42.0,5.4
1,1400.0,43.0,5.2
1,1400.0,44.0,5.7
1,1400.0,45.0,6.0
1,1400.0,46.0,5.4
1,1400.0,47.0,5.2
1,1400.0,48.0,5.1
1,1400.0,49.0,5.3
1,1400.0,50.0,5.3
1,1400.0,51.0,4.2
1,1400.0,52.0,3.8
1,1400.0,53.0,4.3
1,1400.0,54.0,4.0
1,1400.0,55.0,4.2
1,1400.0,56.0,4.6
1,1400.0,57.0,4.5
1,1400.0,58.0,4.4
1,1400.0,59.0,4.3
1,1400.0,60.0,5.6
1,1400.0,61.0,5.1
1,1400.0,62.0,4.4
1,1400.0,63.0,4.2
1,1400.0,64.0,4.2
1,1400.0,65.0,4.1
1,1400.0,66.0,3.5
1,1400.0,67.0,3.3
1,1400.0,68.0,2.5
1,1400.0,69.0,1.3
1,1400.0,70.0,1.1
1,1400.0,71.0,1.0
1,1400.0,72.0,0.9
1,1400.0,73.0,1.0
1,1700.0,6.0,1.5
1,1700.0,7.0,0.6
1,1700.0,8.0,1.3
1,1700.0,9.0,1.6
1,1700.0,10.0,1.3
1,1700.0,11.0,1.6
1,1700.0,12.0,2.1
1,1700.0,13.0,2.4
1,1700.0,14.0,2.7
1,1700.0,15.0,2.8
1,1700.0,16.0,3.0
1,1700.0,17.0,3.0
1,1700.0,18.0,2.8
1,1700.0,19.0,2.7
1,1700.0,20.0,2.5
1,1700.0,21.0,2.7
1,1700.0,22.0,2.5
1,1700.0,23.0,2.1
1,1700.0,24.0,2.0
1,1700.0,25.0,2.0
1,1700.0,26.0,1.8
1,1700.0,27.0,1.8
1,1700.0,28.0,2.4
1,1700.0,29.0,2.0
1,1700.0,30.0,2.8
1,1700.0,31.0,3.5
1,1700.0,32.0,3.9
1,1700.0,33.0,3.8
1,1700.0,34.0,4.4
1,1700.0,35.0,4.4
1,1700.0,36.0,4.5
1,1700.0,37.0,3.9
1,1700.0,38.0,4.9
1,1700.0,39.0,5.4
1,1700.0,40.0,5.2
1,1700.0,41.0,5.7
1,1700.0,42.0,6.0
1,1700.0,43.0,5.4
1,1700.0,44.0,5.2
1,1700.0,45.0,5.1
1,1700.0,46.0,5.3
1,1700.0,47.0,5.3
1,1700.0,48.0,4.2
1,1700.0,49.0,3.8
1,1700.0,50.0,4.3
1,1700.0,51.0,4.0
1,1700.0,52.0,4.2
1,1700.0,53.0,4.6
1,1700.0,54.0,4.5
1,1700.0,55.0,4.4
1,1700.0,56.0,4.3
1,1700.0,57.0,5.6
1,1700.0,58.0,5.1
1,1700.0,59.0,4.4
1,1700.0,60.0,4.2
1,1700.0,61.0,4.2
1,1700.0,62.0,4.1
1,1700.0,63.0,3.5
1,1700.0,64.0,3.3
1,1700.0,65.0,2.5
1,1700.0,66.0,1.3
1,1700.0,67.0,1.1
1,1700.0,68.0,1.0
1,1700.0,69.0,0.9
1,1700.0,70.0,1.0
1,2000.0,6.0,1.6
1,2000.0,7.0,1.4
1,2000.0,8.0,0.9
1,2000.0,9.0,1.3
1,2000.0,10.0,1.6
1,2000.0,11.0,1.8
1,2000.0,12.0,1.9
1,2000.0,13.0,2.3
1,2000.0,14.0,2.4
1,2000.0,15.0,2.7
1,2000.0,16.0,2.8
1,2000.0,17.0,2.7
1,2000.0,18.0,2.4
