 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 1,0200,+6,23.000000 
 1,0200,+7,22.000000 
 1,0500,+6,23.000000 
 1,0500,+7,22.000000 
 1,0800,+6,23.000000 
 1,0800,+7,22.000000 
 1,0800,+8,21.000000 
 1,1100,+6,23.000000 
 1,1100,+7,22.000000 
 1,1100,+8,21.000000 
 1,1400,+6,23.000000 
 1,1400,+7,22.000000 
 1,1400,+8,21.000000 
 1,1700,+6,23.000000 
 1,1700,+7,22.000000 
 1,1700,+8,21.000000 
 1,2000,+6,22.000000 
 1,2000,+7,21.000000 
 1,2300,+6,22.000000 
 1,2300,+7,21.000000 
 Start : 20210702 
 2,0200,+6,22.000000 
 2,0200,+7,21.000000 
 2,0500,+6,22.000000 
 2,0500,+7,21.000000 
 2,0800,+6,22.000000 
 2,0800,+7,21.000000 
 2,0800,+8,20.000000 
 2,1100,+6,22.000000 
 2,1100,+7,21.000000 
 2,1100,+8,20.000000 
 2,1400,+6,22.000000 
 2,1400,+7,21.000000 
 2,1400,+8,20.000000 
 2,1700,+6,22.000000 
 2,1700,+7,21.000000 
 2,1700,+8,20.000000 
 2,2000,+6,21.000000 
 2,2000,+7,21.000000 
 2,2300,+6,21.000000 
 2,2300,+7,21.000000 
 Start : 20210703 
 3,0200,+6,21.000000 
 3,0200,+7,21.000000 
 3,0500,+6,21.000000 
 3,0500,+7,21.000000 
 3,0800,+6,22.000000 
 3,0800,+7,21.000000 
 3,0800,+8,22.000000 
 3,1100,+6,22.000000 
 3,1100,+7,21.000000 
 3,1100,+8,22.000000 
 3,1400,+6,21.000000 
 3,1400,+7,21.000000 
 3,1400,+8,22.000000 
 3,1700,+6,21.000000 
 3,1700,+7,21.000000 
 3,1700,+8,22.000000 
 3,2000,+6,21.000000 
 3,2000,+7,22.000000 
 3,2300,+6,21.000000 
 3,2300,+7,22.000000 
 Start : 20210704 
 4,0200,+6,21.000000 
 4,0200,+7,22.000000 
 4,0500,+6,21.000000 
 4,0500,+7,22.000000 
 4,0800,+6,20.000000 
 4,0800,+7,22.000000 
 4,0800,+8,23.000000 
 4,1100,+6,20.000000 
 4,1100,+7,22.000000 
 4,1100,+8,23.000000 
 4,1400,+6,20.000000 
 4,1400,+7,22.000000 
 4,1400,+8,23.000000 
 4,1700,+6,20.000000 
 4,1700,+7,22.000000 
 4,1700,+8,23.000000 
 4,2000,+6,22.000000 
 4,2000,+7,22.000000 
 4,2300,+6,22.000000 
 4,2300,+7,22.000000 
 Start : 20210705 
 5,0200,+6,22.000000 
 5,0200,+7,22.000000 
 5,0500,+6,22.000000 
 5,0500,+7,22.000000 
 5,0800,+6,21.000000 
 5,0800,+7,22.000000 
 5,0800,+8,23.000000 
 5,1100,+6,21.000000 
 5,1100,+7,22.000000 
 5,1100,+8,23.000000 
 5,1400,+6,21.000000 
 5,1400,+7,22.000000 
 5,1400,+8,23.000000 
 5,1700,+6,21.000000 
 5,1700,+7,22.000000 
 5,1700,+8,23.000000 
 5,2000,+6,23.000000 
 5,2000,+7,23.000000 
 5,2300,+6,23.000000 
 5,2300,+7,23.000000 
 Start : 20210706 
 6,0200,+6,23.000000 
 6,0200,+7,23.000000 
 6,0500,+6,23.000000 
 6,0500,+7,23.000000 
 6,0800,+6,23.000000 
 6,0800,+7,23.000000 
 6,0800,+8,23.000000 
 6,1100,+6,23.000000 
 6,1100,+7,23.000000 
 6,1100,+8,23.000000 
 6,1400,+6,23.000000 
 6,1400,+7,23.000000 
 6,1400,+8,23.000000 
 6,1700,+6,23.000000 
 6,1700,+7,23.000000 
 6,1700,+8,23.000000 
