 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 5,1400,+8,28.000000 
 5,1700,+6,31.000000 
 5,1700,+7,29.000000 
 5,1700,+8,28.000000 
 5,2000,+6,31.000000 
 5,2000,+7,29.000000 
 5,2000,+8,28.000000 
 5,2300,+6,31.000000 
 5,2300,+7,29.000000 
 5,2300,+8,28.000000 
 Start : 20210706 
 6,0200,+6,31.000000 
 6,0200,+7,29.000000 
 6,0200,+8,28.000000 
 6,0500,+6,29.000000 
 6,0500,+7,28.000000 
 6,0800,+6,29.000000 
 6,0800,+7,28.000000 
 6,0800,+8,29.000000 
 6,1100,+6,29.000000 
 6,1100,+7,28.000000 
 6,1100,+8,29.000000 
 6,1400,+6,29.000000 
 6,1400,+7,28.000000 
 6,1400,+8,29.000000 
 6,1700,+6,29.000000 
 6,1700,+7,28.000000 
 6,1700,+8,29.000000 
 6,2000,+6,29.000000 
 6,2000,+7,30.000000 
 6,2000,+8,29.000000 
 6,2300,+6,29.000000 
 6,2300,+7,30.000000 
 6,2300,+8,29.000000 
 Start : 20210707 
 7,0200,+6,29.000000 
 7,0200,+7,30.000000 
 7,0200,+8,29.000000 
 7,0500,+6,30.000000 
 7,0500,+7,29.000000 
 7,0800,+6,30.000000 
 7,0800,+7,30.000000 
 7,0800,+8,30.000000 
 7,1100,+6,30.000000 
 7,1100,+7,30.000000 
 7,1100,+8,30.000000 
 7,1400,+6,30.000000 
 7,1400,+7,30.000000 
 7,1400,+8,30.000000 
 7,1700,+6,30.000000 
 7,1700,+7,30.000000 
 7,1700,+8,30.000000 
 7,2000,+6,30.000000 
 7,2000,+7,29.000000 
 7,2000,+8,30.000000 
 7,2300,+6,30.000000 
 7,2300,+7,29.000000 
 7,2300,+8,30.000000 
 Start : 20210708 
 8,0200,+6,30.000000 
 8,0200,+7,29.000000 
 8,0200,+8,30.000000 
 8,0500,+6,29.000000 
 8,0500,+7,30.000000 
 8,0800,+6,29.000000 
 8,0800,+7,30.000000 
 8,0800,+8,30.000000 
 8,1100,+6,29.000000 
 8,1100,+7,30.000000 
 8,1100,+8,30.000000 
 8,1400,+6,29.000000 
 8,1400,+7,30.000000 
 8,1400,+8,30.000000 
 8,1700,+6,29.000000 
 8,1700,+7,30.000000 
 8,1700,+8,30.000000 
 8,2000,+6,29.000000 
 8,2000,+7,29.000000 
 8,2000,+8,30.000000 
 8,2300,+6,29.000000 
 8,2300,+7,29.000000 
 8,2300,+8,30.000000 
 Start : 20210709 
 9,0200,+6,29.000000 
 9,0200,+7,29.000000 
 9,0200,+8,30.000000 
 9,0500,+6,29.000000 
 9,0500,+7,30.000000 
 9,0800,+6,29.000000 
 9,0800,+7,29.000000 
 9,0800,+8,31.000000 
 9,1100,+6,29.000000 
 9,1100,+7,29.000000 
 9,1100,+8,31.000000 
 9,1400,+6,29.000000 
 9,1400,+7,29.000000 
 9,1400,+8,31.000000 
 9,1700,+6,29.000000 
 9,1700,+7,29.000000 
 9,1700,+8,31.000000 
 9,2000,+6,29.000000 
 9,2000,+7,29.000000 
 9,2000,+8,31.000000 
 9,2300,+6,29.000000 
 9,2300,+7,29.000000 
 9,2300,+8,31.000000 
 Start : 20210710 
 10,0200,+6,29.000000 
 10,0200,+7,29.000000 
 10,0200,+8,31.000000 
 10,0500,+6,29.000000 
 10,0500,+7,31.000000 
 10,0800,+6,29.000000 
 10,0800,+7,31.000000 
 10,0800,+8,32.000000 
 10,1100,+6,29.000000 
 10,1100,+7,31.000000 
 10,1100,+8,32.000000 
 10,1400,+6,29.000000 
 10,1400,+7,31.000000 
 10,1400,+8,32.000000 
 10,1700,+6,29.000000 
 10,1700,+7,31.000000 
 10,1700,+8,32.000000 
 10,2000,+6,30.000000 
 10,2000,+7,32.000000 
 10,2000,+8,33.000000 
 10,2300,+6,30.000000 
 10,2300,+7,32.000000 
 10,2300,+8,33.000000 
 Start : 20210711 
 11,0200,+6,30.000000 
 11,0200,+7,32.000000 
 11,0200,+8,33.000000 
 11,0500,+6,32.000000 
 11,0500,+7,33.000000 
 11,0800,+6,32.000000 
 11,0800,+7,32.000000 
 11,0800,+8,32.000000 
 11,1100,+6,32.000000 
 11,1100,+7,32.000000 
 11,1100,+8,32.000000 
 11,1400,+6,32.000000 
 11,1400,+7,32.000000 
 11,1400,+8,32.000000 
 11,1700,+6,32.000000 
 11,1700,+7,32.000000 
 11,1700,+8,32.000000 
 11,2000,+6,33.000000 
 11,2000,+7,32.000000 
 11,2000,+8,31.000000 
 11,2300,+6,33.000000 
 11,2300,+7,32.000000 
 11,2300,+8,31.000000 
 Start : 20210712 
 12,0200,+6,33.000000 
 12,0200,+7,32.000000 
 12,0200,+8,31.000000 
 12,0500,+6,32.000000 
 12,0500,+7,31.000000 
 12,0800,+6,33.000000 
 12,0800,+7,32.000000 
 12,0800,+8,32.000000 
 12,1100,+6,33.000000 
 12,1100,+7,32.000000 
 12,1100,+8,32.000000 
 12,1400,+6,33.000000 
 12,1400,+7,32.000000 
 12,1400,+8,32.000000 
 12,1700,+6,33.000000 
 12,1700,+7,32.000000 
 12,1700,+8,32.000000 
 12,2000,+6,33.000000 
 12,2000,+7,32.000000 
 12,2000,+8,31.000000 
 12,2300,+6,33.000000 
