±¸·Î±¸,Date
136.7313836828026,2023-01-01
83.39623918154962,2023-02-01
70.30078949623837,2023-03-01
111.9323722358036,2023-04-01
157.24633361461642,2023-05-01
161.67200674312778,2023-06-01
100.39559506758036,2023-07-01
169.75733584691181,2023-08-01
124.78412468740511,2023-09-01
117.03017549920257,2023-10-01
114.55936665442738,2023-11-01
108.40527740845567,2023-12-01
153.52348613404735,2024-01-01
81.21475506380443,2024-02-01
116.23822119865002,2024-03-01
126.94019220534356,2024-04-01
118.22252898902289,2024-05-01
102.80971956916898,2024-06-01
184.86406018024218,2024-07-01
127.63925893157743,2024-08-01
103.60558008006288,2024-09-01
141.0472889613476,2024-10-01
118.02509409546116,2024-11-01
118.75379626314744,2024-12-01
89.40494686677017,2025-01-01
72.54691339660269,2025-02-01
96.37952213920262,2025-03-01
116.91154271283077,2025-04-01
126.33900341472484,2025-05-01
118.28132619850346,2025-06-01
152.208969525288,2025-07-01
136.74378910603556,2025-08-01
106.27142299306192,2025-09-01
128.56733339447536,2025-10-01
112.15318887183889,2025-11-01
110.37422418472781,2025-12-01
106.16109206259276,2026-01-01
71.31569862875176,2026-02-01
76.46488520044056,2026-03-01
107.31107191785145,2026-04-01
134.75781087787303,2026-05-01
133.3131895348784,2026-06-01
119.44938143552568,2026-07-01
146.19095846412426,2026-08-01
108.7383882049302,2026-09-01
115.96330611723853,2026-10-01
106.40085112854894,2026-11-01
102.32986270361674,2026-12-01
