±ÝÃµ±¸,Date
98.0049847335753,2023-01-01
99.02484053927535,2023-02-01
45.96301245805586,2023-03-01
77.01827824462211,2023-04-01
99.90391311243236,2023-05-01
109.59862858153757,2023-06-01
132.01154404089394,2023-07-01
91.00038757838605,2023-08-01
51.970901919331965,2023-09-01
96.0942991198493,2023-10-01
132.68189765728914,2023-11-01
95.07091032021512,2023-12-01
97.52841164768012,2024-01-01
110.76478972238431,2024-02-01
98.59032447082237,2024-03-01
88.46170224919716,2024-04-01
91.96131203573765,2024-05-01
87.95163579419071,2024-06-01
101.83693915912114,2024-07-01
88.00958492490201,2024-08-01
148.132795068951,2024-09-01
90.80030329155909,2024-10-01
87.49715398551237,2024-11-01
89.4273404146875,2024-12-01
109.35938237792735,2025-01-01
85.47080737553587,2025-02-01
84.66873453029298,2025-03-01
87.8663839478413,2025-04-01
97.87482069919093,2025-05-01
98.59634489742878,2025-06-01
115.72774967645941,2025-07-01
93.19694046642607,2025-08-01
119.65764654625625,2025-09-01
95.43373358196013,2025-10-01
105.9320106029233,2025-11-01
95.07796942637634,2025-12-01
109.04690335670176,2026-01-01
97.68986113675568,2026-02-01
70.66884512496333,2026-03-01
87.5985797439554,2026-04-01
104.07379461247119,2026-05-01
109.36620185155017,2026-06-01
129.34028042275253,2026-07-01
97.74173823783619,2026-08-01
91.14078620960925,2026-09-01
100.74735060655631,2026-10-01
124.5495061314575,2026-11-01
100.51105733158286,2026-12-01
