ÀºÆò±¸,Date
108.88725445168606,2023-01-01
69.62627479402425,2023-02-01
75.8215324273818,2023-03-01
90.01689119709724,2023-04-01
123.37884470707712,2023-05-01
149.49797287201957,2023-06-01
127.92082751049608,2023-07-01
136.99345986359646,2023-08-01
42.45630626633557,2023-09-01
182.10782021570407,2023-10-01
167.62469595643083,2023-11-01
127.72364810032221,2023-12-01
98.85233140776782,2024-01-01
62.53789638719553,2024-02-01
106.63659807449883,2024-03-01
91.84727194752497,2024-04-01
76.86061145928088,2024-05-01
137.16070169930543,2024-06-01
102.83076027201557,2024-07-01
81.992199889337,2024-08-01
243.60616473559384,2024-09-01
92.74240977217028,2024-10-01
95.20762530766808,2024-11-01
119.24620565115374,2024-12-01
109.63946656540202,2025-01-01
64.84956913131182,2025-02-01
90.07061417557577,2025-03-01
84.63121882785505,2025-04-01
86.04415714134956,2025-05-01
135.23070236809426,2025-06-01
105.21639892332587,2025-07-01
95.14614671499025,2025-08-01
170.25923086988004,2025-09-01
115.15500865259231,2025-10-01
113.25428758429996,2025-11-01
116.40400376990516,2025-12-01
100.17634784140635,2026-01-01
58.09083080559222,2026-02-01
73.63924867663228,2026-03-01
77.86593457680281,2026-04-01
95.40201003516341,2026-05-01
133.19237410835927,2026-06-01
107.42933829300223,2026-07-01
107.32600832349458,2026-08-01
97.03165242949545,2026-09-01
138.7964607911138,2026-10-01
131.25057465127608,2026-11-01
113.07798427395527,2026-12-01
