¿ë»ê±¸,Date
78.2639143673385,2023-01-01
54.039220313699076,2023-02-01
39.75935194242033,2023-03-01
60.13799483699578,2023-04-01
58.7099530196983,2023-05-01
107.30763067534096,2023-06-01
114.85671536449262,2023-07-01
103.4718319655168,2023-08-01
31.932172660992507,2023-09-01
18.510183635918132,2023-10-01
114.03899362926863,2023-11-01
98.83633324136353,2023-12-01
83.28658291139689,2024-01-01
50.279375569060775,2024-02-01
70.99717587078923,2024-03-01
80.1559502890721,2024-04-01
67.69707898973476,2024-05-01
58.75241753193214,2024-06-01
74.45990090528913,2024-07-01
64.16170007495329,2024-08-01
97.64310965276458,2024-09-01
67.3708807232225,2024-10-01
69.58824935623932,2024-11-01
70.69780898948272,2024-12-01
44.729680849431006,2025-01-01
37.38226427748003,2025-02-01
53.10337449643171,2025-03-01
65.66107906741118,2025-04-01
56.571372961827095,2025-05-01
66.95732987877935,2025-06-01
80.4761900103793,2025-07-01
70.30815928966278,2025-08-01
68.57284455885588,2025-09-01
42.8862585486752,2025-10-01
76.21610896142754,2025-11-01
72.36061842078651,2025-12-01
50.119167480737445,2026-01-01
34.451954389126215,2026-02-01
35.041115339405934,2026-03-01
51.33958273226628,2026-04-01
45.93109271574955,2026-05-01
75.50565458050335,2026-06-01
86.3054721844135,2026-07-01
75.77118007885666,2026-08-01
39.015470394184725,2026-09-01
18.947599549755672,2026-10-01
83.39344660230334,2026-11-01
74.10223029168324,2026-12-01
