Áß±¸,Date
152.97803203444246,2023-01-01
98.7267617023809,2023-02-01
42.91413307714457,2023-03-01
122.50868575719466,2023-04-01
123.1163493752209,2023-05-01
146.179010664101,2023-06-01
170.63810017187785,2023-07-01
-17.578207358261892,2023-08-01
127.90754379247792,2023-09-01
121.68364124172379,2023-10-01
90.44120057073647,2023-11-01
91.6743833983021,2023-12-01
179.71369741968724,2024-01-01
98.33275231389015,2024-02-01
151.49735448678322,2024-03-01
103.37273187310537,2024-04-01
100.25879439634332,2024-05-01
95.96987017057612,2024-06-01
101.31312784888964,2024-07-01
108.05189054701141,2024-08-01
99.10122491191467,2024-09-01
102.19403273281478,2024-10-01
108.90158948458959,2024-11-01
100.72926121649098,2024-12-01
79.9791469295568,2025-01-01
77.38622649017883,2025-02-01
108.77585447234536,2025-03-01
102.58093099790877,2025-04-01
101.03439488206654,2025-05-01
106.14291547569856,2025-06-01
118.82451435554391,2025-07-01
59.98530927517063,2025-08-01
101.73396783217748,2025-09-01
102.25133090300149,2025-10-01
96.24238879453237,2025-11-01
90.73117973786263,2025-12-01
106.78591021425214,2026-01-01
78.80738233784987,2026-02-01
66.09907226115018,2026-03-01
102.4906066936817,2026-04-01
102.19080889735346,2026-05-01
116.42074860359227,2026-06-01
135.47107194635524,2026-07-01
11.626944710899636,2026-08-01
104.86787555001915,2026-09-01
102.28185369934037,2026-10-01
83.61873079708215,2026-11-01
81.24654450597616,2026-12-01
