¼ÛÆÄ±¸,Date
205.4352936516365,2023-01-01
117.09128887439847,2023-02-01
140.03869333049508,2023-03-01
152.79980091510086,2023-04-01
148.7366657752639,2023-05-01
286.14147441306454,2023-06-01
113.40468207353138,2023-07-01
213.45619223155668,2023-08-01
156.30401216980377,2023-09-01
122.26935807626701,2023-10-01
228.54320274415642,2023-11-01
172.97565783349322,2023-12-01
217.63196932783936,2024-01-01
118.124318194637,2024-02-01
174.00113519288269,2024-03-01
146.9302853370796,2024-04-01
185.97019642252835,2024-05-01
169.733561956307,2024-06-01
184.9823031288129,2024-07-01
192.51826244977954,2024-08-01
146.44916885485466,2024-09-01
116.44178292817814,2024-10-01
225.66930800051327,2024-11-01
205.83818937873156,2024-12-01
159.9676210588373,2025-01-01
92.34624714576766,2025-02-01
155.579642642617,2025-03-01
141.56781186013478,2025-04-01
165.83758456759045,2025-05-01
201.40239276124987,2025-06-01
154.23043019572847,2025-07-01
192.05845068726853,2025-08-01
142.51273579986415,2025-09-01
111.18225481111574,2025-10-01
219.52190798618443,2025-11-01
187.36488692758377,2025-12-01
171.73572447070367,2026-01-01
94.02314155633383,2026-02-01
137.01781112006415,2026-03-01
136.28587621100496,2026-04-01
146.1883431208213,2026-05-01
232.98008419330904,2026-06-01
123.12884456363159,2026-07-01
191.80169806144508,2026-08-01
138.56232196250667,2026-09-01
105.88885634574132,2026-10-01
213.24255741180863,2026-11-01
169.17131790887473,2026-12-01
