°­ºÏ±¸,Date
78.4335723968786,2023-01-01
60.9616934045621,2023-02-01
50.455914245109724,2023-03-01
58.08905608613743,2023-04-01
124.97974292620542,2023-05-01
89.983039326164,2023-06-01
67.42675454377482,2023-07-01
109.73042924000983,2023-08-01
62.54171231726225,2023-09-01
68.47076260614752,2023-10-01
95.67920048821495,2023-11-01
64.43452510857605,2023-12-01
87.0195137503583,2024-01-01
69.91915781209433,2024-02-01
87.96222283657679,2024-03-01
80.85322379529045,2024-04-01
83.92358095708124,2024-05-01
92.85790896780982,2024-06-01
100.7500426192068,2024-07-01
81.29551697427277,2024-08-01
105.15282444104587,2024-09-01
78.3637648325942,2024-10-01
77.3656467536546,2024-11-01
74.13552614490042,2024-12-01
83.42423422283446,2025-01-01
64.71179888515766,2025-02-01
82.91244666968247,2025-03-01
80.31852119704763,2025-04-01
104.93888208156032,2025-05-01
99.60021839549762,2025-06-01
97.03431126726608,2025-07-01
98.27211615735249,2025-08-01
98.48942223102857,2025-09-01
82.21812804113773,2025-10-01
90.81413018133216,2025-11-01
78.3684892831759,2025-12-01
92.07249147972749,2026-01-01
74.06388347687553,2026-02-01
77.82513288141823,2026-03-01
80.1480034272942,2026-04-01
126.04947120438712,2026-05-01
106.06252059506399,2026-06-01
93.34344884808182,2026-07-01
115.1720390221082,2026-08-01
91.70097688726831,2026-09-01
86.33898390783642,2026-10-01
104.34091257793064,2026-11-01
82.55487392640241,2026-12-01
