¸¶Æ÷±¸,Date
160.11033101994306,2023-01-01
98.23339446080884,2023-02-01
68.14279955555689,2023-03-01
77.3180837748144,2023-04-01
89.60021194165583,2023-05-01
145.7695997194629,2023-06-01
83.6121208060899,2023-07-01
166.8317529713328,2023-08-01
122.54801630224677,2023-09-01
23.301140265446662,2023-10-01
129.50725915436834,2023-11-01
121.0813543713485,2023-12-01
187.05714966349277,2024-01-01
107.34810270679941,2024-02-01
106.73897116433048,2024-03-01
117.66457948237007,2024-04-01
111.01532221412704,2024-05-01
82.02884758280122,2024-06-01
138.70974804351735,2024-07-01
81.63382846214397,2024-08-01
56.53086397611814,2024-09-01
175.38262491823463,2024-10-01
118.75734752565667,2024-11-01
133.8460649132751,2024-12-01
102.14628446973143,2025-01-01
73.66793269321448,2025-02-01
92.73753549979274,2025-03-01
102.58915320990874,2025-04-01
101.77791505276261,2025-05-01
101.59530127516724,2025-06-01
118.58739365689779,2025-07-01
108.2482569728515,2025-08-01
78.02033757292412,2025-09-01
123.43060006732892,2025-10-01
120.10029910454824,2025-11-01
127.4188508562969,2025-12-01
128.66702300644434,2026-01-01
83.87230631219344,2026-02-01
78.3018350418737,2026-03-01
87.56863220437302,2026-04-01
93.0730405624232,2026-05-01
121.28428580103781,2026-06-01
98.65550496926298,2026-07-01
135.09497451424497,2026-08-01
98.4686744834401,2026-09-01
71.15450510937364,2026-10-01
122.11539105329219,2026-11-01
121.60133408327292,2026-12-01
