Á¾·Î±¸,Date
83.35422809337581,2023-01-01
65.22807961995412,2023-02-01
31.202142862409424,2023-03-01
74.47214464728174,2023-04-01
101.37522954267243,2023-05-01
109.7480507206914,2023-06-01
120.39302462167697,2023-07-01
13.399861712697188,2023-08-01
52.434473650511656,2023-09-01
82.48563752547162,2023-10-01
141.35751061060236,2023-11-01
89.79891407414405,2023-12-01
87.48447455748556,2024-01-01
54.659784810150136,2024-02-01
107.95716261647547,2024-03-01
54.797563400851615,2024-04-01
59.432548465726704,2024-05-01
67.92836991595809,2024-06-01
62.96975203751052,2024-07-01
69.00166183576684,2024-08-01
124.95427712757657,2024-09-01
66.95932258203752,2024-10-01
71.44447258561192,2024-11-01
76.2963888111344,2024-12-01
46.406739789019,2025-01-01
56.91008584149426,2025-02-01
72.92770000177356,2025-03-01
51.440610255343266,2025-04-01
63.910810746943376,2025-05-01
72.68695705770484,2025-06-01
73.59213052466434,2025-07-01
41.93682495726398,2025-08-01
91.28440663922306,2025-09-01
62.11305460866651,2025-10-01
85.31222264538917,2025-11-01
71.77384530683655,2025-12-01
51.23408056908748,2026-01-01
47.55758483350952,2026-02-01
38.11957221370598,2026-03-01
48.787074625451915,2026-04-01
68.68690405984353,2026-05-01
77.42316734158277,2026-06-01
83.52708288240537,2026-07-01
14.181941893607274,2026-08-01
57.887025472477816,2026-09-01
58.07764665200544,2026-10-01
99.41402573486835,2026-11-01
67.06746962809065,2026-12-01
