¼ººÏ±¸,Date
52.19440867671379,2023-01-01
23.329806558596992,2023-02-01
12.822989165170625,2023-03-01
43.65167138773966,2023-04-01
49.964891528637565,2023-05-01
107.46034609556602,2023-06-01
99.94055795745521,2023-07-01
135.60493058182107,2023-08-01
-84.52600505055113,2023-09-01
101.53697260798253,2023-10-01
139.16773247206174,2023-11-01
91.14348124407361,2023-12-01
34.96310804681983,2024-01-01
7.2352691939582385,2024-02-01
58.08576704383662,2024-03-01
41.51786908161395,2024-04-01
41.959725629997756,2024-05-01
25.889226313085523,2024-06-01
48.998639883862,2024-07-01
17.305222555103157,2024-08-01
221.8677441914083,2024-09-01
28.55985154262128,2024-10-01
28.311033097750453,2024-11-01
26.314602059907163,2024-12-01
38.15619329708232,2025-01-01
7.695202191070795,2025-02-01
27.346275760108355,2025-03-01
26.225184561364077,2025-04-01
28.492460112924647,2025-05-01
37.258928299092645,2025-06-01
50.81470085684818,2025-07-01
42.959530016928085,2025-08-01
104.48028927307284,2025-09-01
35.43351606212658,2025-10-01
49.262534401338385,2025-11-01
32.9654196094739,2025-12-01
22.190441575423765,2026-01-01
-7.581757875155464,2026-02-01
-3.2846551045344157,2026-03-01
11.39862107302108,2026-04-01
15.628738664221588,2026-05-01
48.92644465950177,2026-06-01
52.27120758681919,2026-07-01
66.86323839687097,2026-08-01
-13.222590429228456,2026-09-01
44.22679605964491,2026-10-01
70.69669736977356,2026-11-01
39.05113820356497,2026-12-01
