°ü¾Ç±¸,Date
176.10434101723143,2023-01-01
144.29798954253334,2023-02-01
99.93280169769191,2023-03-01
175.55368293817324,2023-04-01
137.45717793161697,2023-05-01
202.60767772077105,2023-06-01
167.11958179649642,2023-07-01
232.28239579558692,2023-08-01
82.72961950431828,2023-09-01
47.47025477555317,2023-10-01
292.1399015115244,2023-11-01
150.97321384932877,2023-12-01
196.3528080542567,2024-01-01
153.77621373878063,2024-02-01
149.72508614956524,2024-03-01
176.28542635549613,2024-04-01
172.72556865564187,2024-05-01
159.15493809663303,2024-06-01
184.436489430805,2024-07-01
141.96921791967304,2024-08-01
95.13816187546054,2024-09-01
180.59196236847725,2024-10-01
186.28725960269887,2024-11-01
215.9645306923383,2024-12-01
130.1903400320628,2025-01-01
117.62821730988225,2025-02-01
131.23140602119497,2025-03-01
173.86678057430785,2025-04-01
158.52461700822084,2025-05-01
171.26464678925865,2025-06-01
176.35618861293793,2025-07-01
170.19684053511,2025-08-01
89.79727285026347,2025-09-01
133.67270760031587,2025-10-01
219.01952291190645,2025-11-01
192.1006936068554,2025-12-01
149.80122095983793,2026-01-01
128.00193862072967,2026-02-01
112.5069134798957,2026-03-01
171.49898935426012,2026-04-01
144.64409092530394,2026-05-01
183.6324068825696,2026-06-01
168.4652579822916,2026-07-01
198.1908995521898,2026-08-01
83.53736629770181,2026-09-01
87.16328877592467,2026-10-01
252.19044283994683,2026-11-01
168.31276370509488,2026-12-01
