,2020_20대_남자,2020_30대_남자,2020_40대_남자,2020_50대_남자,2021_20대_남자,2021_30대_남자,2021_40대_남자,2021_50대_남자,2022_20대_남자,2022_30대_남자,2022_40대_남자,2022_50대_남자,2020_20대_여자,2020_30대_여자,2020_40대_여자,2020_50대_여자,2021_20대_여자,2021_30대_여자,2021_40대_여자,2021_50대_여자,2022_20대_여자,2022_30대_여자,2022_40대_여자,2022_50대_여자,20년1월_범죄건수,21년1월_범죄건수,22년1월_범죄건수,20년2월_범죄건수,21년2월_범죄건수,22년2월_범죄건수,20년3월_범죄건수,21년3월_범죄건수,22년3월_범죄건수,20년4월_범죄건수,21년4월_범죄건수,22년4월_범죄건수,20년5월_범죄건수,21년5월_범죄건수,22년5월_범죄건수,20년6월_범죄건수,21년6월_범죄건수,22년6월_범죄건수,20년7월_범죄건수,21년7월_범죄건수,22년7월_범죄건수,20년8월_범죄건수,21년8월_범죄건수,22년8월_범죄건수,20년9월_범죄건수,21년9월_범죄건수,22년9월_범죄건수,20년10월_범죄건수,21년10월_범죄건수,22년10월_범죄건수,20년11월_범죄건수,21년11월_범죄건수,22년11월_범죄건수,20년12월_범죄건수,21년12월_범죄건수,22년12월_범죄건수,20년_범죄율,21년_범죄율,22년_범죄율,총범죄건수,2020_세대수,2020_힌국인,2020_등록외국인,2020_고령자,2021_세대수,2021_힌국인,2021_등록외국인,2021_고령자,2022_세대수,2022_힌국인,2022_등록외국인,2022_고령자
동작구,10444,8266,4031,3075,11117,8968,4269,3272,11802,9519,4316,3418,12301,6111,2897,2548,12940,6735,2987,2691,13532,7057,3178,2731,303,178,322,215,147,159,252,193,211,227,210,238,317,260,277,260,271,342,292,238,282,259,278,303,316,218,202,239,184,293,303,215,361,287,239,263,0.3572208870439152,0.287415337557352,0.3553637753987328,9154,184229,391220,10352,65190,184812,385483,8881,66613,185773,380596,9836,68231
마포구,8305,8398,4291,2851,8895,9099,4408,3049,8876,9606,4599,3158,11892,8562,4278,2692,12614,9049,4443,2889,13154,9495,4592,3109,464,256,249,307,205,153,291,277,170,300,266,201,284,275,212,256,286,280,316,296,223,246,310,241,123,290,242,314,345,248,276,401,256,268,333,260,0.3544238683127572,0.3641975308641975,0.2813786008230453,9720,178482,371890,9968,54331,179861,368905,9781,54582,180084,364638,10947,55914
서대문구,7253,4858,2850,2674,7827,5228,3008,2838,7849,5481,3017,2857,10674,4149,2461,2313,11118,4455,2476,2459,10957,4722,2622,2615,269,168,343,178,151,240,224,182,305,199,184,309,242,155,383,201,185,334,219,204,384,221,235,328,196,190,255,173,180,324,197,219,531,159,225,360,0.2799367374604609,0.2573429733393583,0.4627202892001807,8852,144838,312173,10779,54204,143647,304819,10840,54268,145797,306337,13217,55996
서초구,3771,6391,3572,2491,3879,6764,3766,2693,3780,6881,3817,2813,5673,6162,3508,2443,5669,6434,3757,2587,5431,6516,3874,2722,80,224,206,63,215,173,71,335,184,62,270,157,76,232,193,60,315,222,73,338,202,82,327,211,286,262,190,61,359,188,64,493,255,387,286,193,0.1845841784989858,0.4943881000676132,0.3210277214334009,7395,173502,425126,3899,60169,170244,412279,3888,60678,167749,404325,4126,62347
성동구,5789,4873,3196,3206,6139,5298,3237,3311,6386,5394,3228,3290,6113,3844,2458,2142,6489,4072,2547,2232,6731,4272,2603,2266,239,124,382,164,133,294,173,164,320,194,168,347,177,176,406,221,173,395,223,191,392,198,216,339,393,159,383,215,160,380,192,239,457,182,209,364,0.2812294902647123,0.2310216582804637,0.4877488514548239,9142,135870,293556,6949,45603,134233,285990,6682,46380,133305,281000,7234,47720
성북구,8921,5471,3685,3770,9546,6059,3832,3805,9652,6305,3750,3937,12046,4163,2892,2944,12520,4621,3050,3092,12481,4695,3134,3285,216,162,192,186,145,109,220,185,147,217,177,191,185,185,187,200,186,213,265,220,219,225,215,221,804,208,142,218,215,180,220,268,209,197,245,184,0.4064191802010827,0.3107759731889662,0.282804846609951,7758,195396,437153,9903,73770,195017,430528,9614,74709,197082,430397,11587,77475
송파구,5916,10675,6114,4643,6318,11258,6469,4965,6366,11850,6599,5075,9155,10196,5363,4086,9960,10955,5632,4288,9817,11542,5889,4502,515,325,444,337,276,271,473,392,398,475,394,411,515,366,425,474,471,489,493,413,416,440,450,470,346,367,403,341,355,431,466,478,537,448,427,472,0.3501052354643514,0.3100499868455669,0.3398447776900815,15204,281959,667960,5966,93483,282417,658338,5627,97691,284853,658801,5713,103573
양천구,2333,4267,3200,3451,2581,4767,3318,3558,2665,5089,3411,3652,2948,3064,2462,2748,3355,3486,2523,2907,3589,3735,2603,2990,255,211,304,265,166,175,239,252,226,238,240,281,244,259,263,260,252,296,335,229,259,278,231,347,99,283,216,288,227,255,233,357,291,255,308,256,0.3258475962062575,0.3286820015262182,0.3454704022675242,9173,180633,454251,3530,65670,181404,447302,3185,68627,181187,440881,3129,72393
영등포구,7260,10209,4950,4566,7879,11268,5132,4783,8167,12060,5242,4820,9780,7215,3260,2691,11042,8257,3428,2890,11961,9154,3601,2933,489,288,414,395,184,282,440,360,360,412,386,377,493,331,432,439,343,435,513,408,433,461,449,412,358,324,324,339,257,335,435,483,599,456,366,416,0.3675850435760472,0.2937166151251054,0.3386983412988473,14228,184714,379480,27887,61688,187020,376837,24071,62516,188832,375675,22410,64810
용산구,3166,5287,3012,2501,3422,5806,3105,2620,3485,6207,3216,2614,5143,4373,2520,1873,5594,4855,2625,1997,5783,5409,2692,2071,277,153,235,209,107,169,282,168,183,291,201,177,266,176,246,237,230,298,249,261,312,221,222,274,291,189,252,239,166,245,229,247,302,210,261,274,0.3594442448197389,0.2851838543538148,0.3553719008264462,8349,113093,230040,14605,40247,111036,222953,14332,39070,109805,218650,14634,39037
은평구,4238,6284,4525,4168,4589,6743,4571,4438,4616,7050,4711,4583,6436,5388,3751,3801,7300,5920,3951,3999,7808,6384,4058,4108,329,230,319,242,160,214,277,253,265,259,243,277,259,232,280,317,334,328,337,279,287,272,319,312,759,306,291,277,290,325,262,312,312,283,286,277,0.3652395322519803,0.3059222934741606,0.3288381742738589,10604,213914,479835,4208,85187,214711,473307,3866,87241,213876,466746,3856,89650
종로구,3438,2707,1757,2011,3488,2882,1768,2095,3656,2908,1760,2044,4004,2197,1502,1345,4311,2338,1542,1445,4575,2539,1549,1471,296,167,243,228,184,187,310,218,199,211,193,211,253,228,249,280,213,266,281,266,226,227,264,150,418,246,211,270,193,237,218,298,275,293,260,208,0.3785870692635704,0.314624870346894,0.3067880603895355,8677,75003,149384,9612,28507,73494,144683,9106,27818,72524,141379,10832,27958
중구,2387,2533,1713,1828,2456,2806,1749,1902,2293,3064,1742,1874,3095,2140,1280,1252,3568,2462,1344,1247,3420,2629,1413,1297,416,180,250,267,193,181,326,227,268,230,229,324,258,261,297,286,259,323,325,266,347,293,292,202,316,266,315,261,221,348,235,254,299,251,213,312,0.3537943008885711,0.2922071289960167,0.3539985701154121,9791,63686,125240,9395,24495,63519,122499,9288,24392,63139,120437,10348,25055
중랑구,3856,5951,4842,6295,4116,6380,4828,6457,4374,6822,4857,6485,5082,4440,3062,3957,5689,4838,3251,3995,6489,5371,3332,4057,280,230,212,275,163,181,333,272,177,292,215,218,301,241,287,316,318,300,397,310,261,297,274,206,226,295,263,338,293,272,265,348,417,345,251,257,0.3692323191617973,0.3233931090066492,0.3073745718315535,9926,185920,394702,4860,69447,185712,387350,4535,71682,187413,385318,4822,74920
