,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년_범죄총합,7024,3528,2780,4160,7099,3399,4109,2777,3742,2190,3349,3270,3445,2478,1365,2571,3153,5323,2989,5230,3001,3873,3285,3464,3665
21년_범죄총합,6146,3458,2301,3896,4444,3087,3486,2439,3425,1860,2959,2631,3540,2278,3656,2112,2411,4714,3015,4179,2381,3244,2730,2861,3210
22년_범죄총합,6947,3711,2832,4663,4879,3619,3857,2577,3071,3896,2141,3253,2735,4096,2374,4459,2194,5167,3169,4819,2967,3487,2662,3466,3051
