¼ººÏ±¸,Date
-0.22493468030341482,2023-01-01
-0.2179976187434655,2023-02-01
0.33573398458922343,2023-03-01
0.024877815502536742,2023-04-01
0.2875638929016969,2023-05-01
0.4153778181396681,2023-06-01
-0.2481672257801422,2023-07-01
-0.3850648822483189,2023-08-01
0.024697203343538816,2023-09-01
-0.2674571284916465,2023-10-01
0.774616772185803,2023-11-01
0.5995413109806798,2023-12-01
-0.46365995531844056,2024-01-01
-0.4326500371603227,2024-02-01
0.6091325929213272,2024-03-01
-0.2335291998229942,2024-04-01
-0.36925335942158666,2024-05-01
-0.4421347304751515,2024-06-01
0.3892714813638879,2024-07-01
0.4695719381242003,2024-08-01
-0.23200771336720255,2024-09-01
-0.08581677467302139,2024-10-01
-0.10943649453028952,2024-11-01
-0.03383150354377933,2024-12-01
0.003975164818041291,2025-01-01
-0.017180130789640174,2025-02-01
0.43725569089856164,2025-03-01
-0.22971442975666412,2025-04-01
-0.22767650137597456,2025-05-01
-0.22418405552997941,2025-06-01
0.11024432033784398,2025-07-01
0.10652447262334755,2025-08-01
-0.2275740586975643,2025-09-01
-0.22766867043177968,2025-10-01
0.10639110286576281,2025-11-01
0.10955339462494523,2025-12-01
-0.21998595866752244,2026-01-01
-0.23041008669581536,2026-02-01
0.2705743745403859,2026-03-01
-0.21904100914366012,2026-04-01
-0.08411872129816078,2026-05-01
-0.013735997543089809,2026-06-01
-0.1778338935397935,2026-07-01
-0.2539932853127874,2026-08-01
-0.21752095969815716,2026-09-01
-0.36370671256464904,2026-10-01
0.32570404384386986,2026-11-01
0.24526387463244434,2026-12-01
