¿ë»ê,Date
-0.0895751792722845,2023-01-01
0.15955418157885115,2023-02-01
-0.4409817464498027,2023-03-01
-0.06942887931623379,2023-04-01
-0.24312375300631978,2023-05-01
-0.02733809561058194,2023-06-01
0.16526475272151767,2023-07-01
3.2395951493115107,2023-08-01
-2.87973771945512,2023-09-01
1.8126661247173081,2023-10-01
-0.3143451769219966,2023-11-01
0.49653322610713674,2023-12-01
-0.40545796588103356,2024-01-01
0.21778789473621973,2024-02-01
-0.4256670304501488,2024-03-01
-0.1111883828673325,2024-04-01
0.9864032677664745,2024-05-01
-0.614631239897397,2024-06-01
-0.7159174632263461,2024-07-01
-0.7919159463225542,2024-08-01
3.2900543363981867,2024-09-01
-1.0255956723980073,2024-10-01
0.0151499023168567,2024-11-01
-0.38903545056913963,2024-12-01
-0.09934219024163732,2025-01-01
-0.597724821031556,2025-02-01
-0.6391562140750909,2025-03-01
-0.3054124455760851,2025-04-01
0.35745203809310544,2025-05-01
-0.646264869901994,2025-06-01
-0.6445869705269112,2025-07-01
0.3696482271132239,2025-08-01
1.0299854072641912,2025-09-01
-0.31491617567179886,2025-10-01
-0.30712826145024086,2025-11-01
-0.3070817871287841,2025-12-01
-0.414318029790626,2026-01-01
-0.5391521416652845,2026-02-01
-0.8576787196932533,2026-03-01
-0.5049567062172985,2026-04-01
-0.26596105616958293,2026-05-01
-0.663854074509818,2026-06-01
-0.5640299766752254,2026-07-01
1.5004231370911916,2026-08-01
-1.2406436308905886,2026-09-01
0.41792112254341807,2026-10-01
-0.6303332229704602,2026-11-01
-0.22520991408091962,2026-12-01
