서대문구,Date
0.01949567467553015,2023-01-01
0.5669573970370709,2023-02-01
-0.5648024930992119,2023-03-01
0.8507826300983481,2023-04-01
-0.2784706950521345,2023-05-01
1.2008293744953331,2023-06-01
-0.5348626687905881,2023-07-01
0.2160505523834324,2023-08-01
0.582116468868672,2023-09-01
0.1842377050847504,2023-10-01
0.05045580822647683,2023-11-01
0.202366245755979,2023-12-01
-0.0046164529599477255,2024-01-01
0.8471202828014519,2024-02-01
0.4040876827245895,2024-03-01
0.20287455457879056,2024-04-01
0.26159925959380576,2024-05-01
0.020850239309661123,2024-06-01
0.8899827236961936,2024-07-01
0.01931883397982903,2024-08-01
0.33623276026656473,2024-09-01
0.027641930975794593,2024-10-01
0.09364648106741985,2024-11-01
0.5249495891865076,2024-12-01
0.20209767037260118,2025-01-01
0.12354454017705141,2025-02-01
0.1214327972794167,2025-03-01
0.4574381267932754,2025-04-01
0.12068851652742874,2025-05-01
0.4593509522583674,2025-06-01
0.45907357585298203,2025-07-01
0.11903548503669292,2025-08-01
0.4576745204746853,2025-09-01
0.12238506304719132,2025-10-01
0.12284342362985762,2025-11-01
0.45878595247910026,2025-12-01
0.17024640559073734,2026-01-01
0.40753117305885755,2026-02-01
-0.160698396592315,2026-03-01
0.7143734598307215,2026-04-01
-0.018428585674880815,2026-05-01
0.8936986574701731,2026-06-01
0.024899509421597132,2026-07-01
0.2255269575643704,2026-08-01
0.5805994607578457,2026-09-01
0.21553453056828353,2026-10-01
0.14936148481197276,2026-11-01
0.3921327516286256,2026-12-01
