영등포구,Date
0.6301113968612211,2023-01-01
0.6622563107161802,2023-02-01
2.0453430071411547,2023-03-01
-0.007665849534893798,2023-04-01
4.842133625849197,2023-05-01
0.6457602157497424,2023-06-01
0.8650838283681156,2023-07-01
1.108766279758873,2023-08-01
3.6798990987967923,2023-09-01
0.33185445978452965,2023-10-01
-0.19413913151065798,2023-11-01
-0.022771243291255017,2023-12-01
1.0580014751874347,2024-01-01
1.1248987116753113,2024-02-01
1.0513611483093803,2024-03-01
2.0873769917161553,2024-04-01
4.149869770776538,2024-05-01
1.7627675525104833,2024-06-01
2.165703203334005,2024-07-01
1.0556133370792549,2024-08-01
0.7366479821739194,2024-09-01
1.8955116453314649,2024-10-01
1.1804155246095702,2024-11-01
1.1069935553468968,2024-12-01
0.8978738378019904,2025-01-01
0.8430126715120785,2025-02-01
1.7577450627610696,2025-03-01
1.7572345228065345,2025-04-01
4.744330571357705,2025-05-01
1.7583552747995763,2025-06-01
2.084876797128933,2025-07-01
1.4165929182009247,2025-08-01
2.0877413818361714,2025-09-01
1.7592315003579464,2025-10-01
1.0881450817037395,2025-11-01
1.0834025576919275,2025-12-01
1.302798229739925,2026-01-01
1.2942748973446616,2026-02-01
2.4522632726641476,2026-03-01
1.421779326947834,2026-04-01
5.338175065739719,2026-05-01
1.7489427336085153,2026-06-01
2.0142539104445696,2026-07-01
1.7974838429390538,2026-08-01
3.432283662175659,2026-09-01
1.6009509530698485,2026-10-01
0.9928001237150066,2026-11-01
1.0697282279385554,2026-12-01
