°­³²±¸,Date
0.0018031829218332351,2023-01-01
0.42867383506263834,2023-02-01
1.6979855368754637,2023-03-01
0.38370822794803516,2023-04-01
0.11547523507858348,2023-05-01
3.032984150071993,2023-06-01
2.4341937770513384,2023-07-01
0.7832924341672893,2023-08-01
2.5309663287350244,2023-09-01
-1.0366881705248558,2023-10-01
1.2428685388143916,2023-11-01
0.9418558675105203,2023-12-01
-0.11449075744125159,2024-01-01
-0.042706025198174125,2024-02-01
1.8659691423275948,2024-03-01
0.007342375183619465,2024-04-01
0.6481723297081867,2024-05-01
1.7025618918790273,2024-06-01
0.9766584525095721,2024-07-01
2.311497594157529,2024-08-01
1.4417071834771986,2024-09-01
1.2264522391645134,2024-10-01
-0.4064673940041904,2024-11-01
-0.27714574915436563,2024-12-01
-0.5961358549899572,2025-01-01
0.5552813077693229,2025-02-01
1.540846833999177,2025-03-01
-0.13558742329765516,2025-04-01
0.19693796723826096,2025-05-01
1.87313899018229,2025-06-01
1.2097974842825379,2025-07-01
1.5435420182270407,2025-08-01
1.5429947261167296,2025-09-01
0.1984088178201891,2025-10-01
-0.13951529875567092,2025-11-01
-0.1325900821268372,2025-12-01
-0.6904514684506945,2026-01-01
0.09644976964991625,2026-02-01
1.218948517087049,2026-03-01
-0.2759781790214678,2026-04-01
-0.24649580230649915,2026-05-01
2.0509589024681514,2026-06-01
1.4299631841093685,2026-07-01
0.7681509485275143,2026-08-01
1.6402344451770108,2026-09-01
-0.822057649948885,2026-10-01
0.14458350615859966,2026-11-01
0.008106007262573212,2026-12-01
