µø¿€±∏,Date
0.27853188363058373,2023-01-01
0.2849717104109179,2023-02-01
0.14675315569519282,2023-03-01
0.058371221084428715,2023-04-01
-0.0162545321586251,2023-05-01
1.2197629577493008,2023-06-01
0.19991042975495493,2023-07-01
-0.11717543380625883,2023-08-01
1.2233031179567246,2023-09-01
-0.027333916084990306,2023-10-01
0.0607130712962341,2023-11-01
0.13416808935596436,2023-12-01
0.4767568498180559,2024-01-01
0.48551497366942764,2024-02-01
0.3731717481817671,2024-03-01
0.4192813069485464,2024-04-01
0.4622212438907475,2024-05-01
0.3396888937724527,2024-06-01
0.8451092730358971,2024-07-01
0.5122708982173034,2024-08-01
0.3385406246459415,2024-09-01
0.45704765667245983,2024-10-01
0.41814995817014566,2024-11-01
0.3843368892211295,2024-12-01
0.33811714400574194,2025-01-01
0.3290014905446396,2025-02-01
0.45019118751453535,2025-03-01
0.44933338945945844,2025-04-01
0.44726634845579527,2025-05-01
0.7832063634176938,2025-06-01
0.7847004796124212,2025-07-01
0.4468370627932346,2025-08-01
0.7825011529128607,2025-09-01
0.45025160249253116,2025-10-01
0.4485062290878559,2025-11-01
0.447667550152352,2025-12-01
0.5317928365079221,2026-01-01
0.5322688945337782,2026-02-01
0.5244551190507327,2026-03-01
0.47873910302348155,2026-04-01
0.4375061063353974,2026-05-01
1.22642258218787,2026-06-01
0.7193347057051224,2026-07-01
0.386728091664027,2026-08-01
1.2272800879980883,2026-09-01
0.43851667653859716,2026-10-01
0.4790695033953788,2026-11-01
0.5140166721770473,2026-12-01
