동대문구,Date
-0.5473520841285517,2023-01-01
0.4645818394854144,2023-02-01
0.16705809784499492,2023-03-01
-1.109067425760233,2023-04-01
-0.5016725930662715,2023-05-01
-0.010033473871638832,2023-06-01
-0.8109237071729833,2023-07-01
0.03214831110197408,2023-08-01
-0.4009712106315447,2023-09-01
-0.4454911099621919,2023-10-01
-0.07241526978946738,2023-11-01
-0.311536468477348,2023-12-01
-1.6448954738452102,2024-01-01
0.4079601374981727,2024-02-01
-1.5302643448470068,2024-03-01
0.11065722511743081,2024-04-01
-0.6760107952826055,2024-05-01
-1.4305305837509767,2024-06-01
-0.5329906748734883,2024-07-01
-0.954479133793995,2024-08-01
0.2643638929640151,2024-09-01
-1.2076948561985044,2024-10-01
-0.9006813517052976,2024-11-01
-1.2922357735503498,2024-12-01
0.21731123664858898,2025-01-01
-0.8180027666310331,2025-02-01
-1.433628694653882,2025-03-01
-0.7675402522967427,2025-04-01
-1.106349709655327,2025-05-01
-1.4365964389471622,2025-06-01
-1.1022562110779464,2025-07-01
-1.1022201098645301,2025-08-01
-0.4360495526398863,2025-09-01
-1.4390826936200913,2025-10-01
-1.103407194145892,2025-11-01
-1.4334766431052994,2025-12-01
-0.8843735040744066,2026-01-01
-0.9021455551580916,2026-02-01
-1.3467006559973624,2026-03-01
-1.653277434236965,2026-04-01
-1.5272721847594932,2026-05-01
-1.4419827752191285,2026-06-01
-1.6739309909407194,2026-07-01
-1.2523084115017975,2026-08-01
-1.136929872568966,2026-09-01
-1.663970546935747,2026-10-01
-1.3062268258672227,2026-11-01
-1.5855483575265112,2026-12-01
