µµºÀ±¸,Date
0.71586312732696,2023-01-01
0.7256150292782482,2023-02-01
-0.5432569735377151,2023-03-01
-0.15497449182987139,2023-04-01
0.1319897318092329,2023-05-01
0.30533916188669996,2023-06-01
1.6289418922026138,2023-07-01
0.17389692797279693,2023-08-01
-0.038314098655757745,2023-09-01
0.019935789348631938,2023-10-01
-0.24976148233927808,2023-11-01
1.8653829588097417,2023-12-01
1.0542597410315953,2024-01-01
1.0637097925852133,2024-02-01
0.7209950501614935,2024-03-01
0.537993494801156,2024-04-01
0.39832898589994614,2024-05-01
0.314159636894432,2024-06-01
0.14049149318541326,2024-07-01
0.35893931415503233,2024-08-01
0.46974004306187683,2024-09-01
0.9473204315549377,2024-10-01
1.0967145777310479,2024-11-01
0.5360668748512074,2024-12-01
0.48656901405835185,2025-01-01
0.47436735532267293,2025-02-01
0.45803028290673165,2025-03-01
0.45481729017914063,2025-04-01
0.45376943598890807,2025-05-01
0.4533268898292469,2025-06-01
0.7914115313919031,2025-07-01
0.46179802673410464,2025-08-01
0.4607485859243334,2025-09-01
0.7920465072212002,2025-10-01
0.7873718810333105,2025-11-01
1.1205635469147457,2025-12-01
0.8309949195135039,2026-01-01
0.8335921500989456,2026-02-01
0.18870486640224937,2026-03-01
0.3759616239909535,2026-04-01
0.51721979614311,2026-05-01
0.602712225051115,2026-06-01
1.440045182516059,2026-07-01
0.5524098254020148,2026-08-01
0.4435784963395517,2026-09-01
0.6350139739018135,2026-10-01
0.4906580515144709,2026-11-01
1.7161168049773399,2026-12-01
