±ÝÃµ±¸,Date
0.022476149766684494,2023-01-01
-0.4902861190880373,2023-02-01
0.0065765690857683134,2023-03-01
0.6327504235375973,2023-04-01
-1.1943039979193901,2023-05-01
1.3597702362001578,2023-06-01
0.0612105272286755,2023-07-01
-0.021752220652367316,2023-08-01
-0.44302599836395956,2023-09-01
-0.08722348274347788,2023-10-01
-0.5635284556280675,2023-11-01
0.4804215917112476,2023-12-01
-0.03904629143207704,2024-01-01
-0.8190297438483977,2024-02-01
0.17489969178730136,2024-03-01
-1.1497999702575639,2024-04-01
1.2741988784126768,2024-05-01
-0.49384946795252155,2024-06-01
0.1440091249449953,2024-07-01
-0.8136458677437932,2024-08-01
-0.607393791568271,2024-09-01
0.2168176600412246,2024-10-01
-0.03574810345905305,2024-11-01
-0.5605168835054963,2024-12-01
-0.6929682592410548,2025-01-01
-0.6690653623292969,2025-02-01
-0.16102162627419636,2025-03-01
-0.8231110422164855,2025-04-01
0.17448098997964123,2025-05-01
-0.16151706178223085,2025-06-01
-0.15643317489571437,2025-07-01
-0.8232110674312683,2025-08-01
-0.8215717343451863,2025-09-01
-0.15682990745724687,2025-10-01
-0.49333942101455475,2025-11-01
-0.49413457525461507,2025-12-01
-0.7456811598696763,2026-01-01
-0.990372784854666,2026-02-01
-0.492201535261255,2026-03-01
-0.5038691032295132,2026-04-01
-0.9236626130983505,2026-05-01
0.18142770482543225,2026-06-01
-0.4590597175794945,2026-07-01
-0.83423147269874,2026-08-01
-1.0418410964933513,2026-09-01
-0.5333257901912187,2026-10-01
-0.9444128533379239,2026-11-01
-0.42210780128624076,2026-12-01
