¾çÃµ±¸,Date
0.12081672648304204,2023-01-01
0.13427264082496337,2023-02-01
-0.09131904143393355,2023-03-01
0.5469204134368678,2023-04-01
-0.6981295671276332,2023-05-01
2.3373890044640095,2023-06-01
0.28119736271975104,2023-07-01
-0.3075810812324732,2023-08-01
-0.147278869685733,2023-09-01
0.7493820412414514,2023-10-01
0.33519933168044846,2023-11-01
-0.07306227863020165,2023-12-01
0.2874375115758,2024-01-01
0.3053622592684697,2024-02-01
0.589739904913479,2024-03-01
0.27075489292823995,2024-04-01
0.9053423683492132,2024-05-01
-0.11930363706948521,2024-06-01
0.8917990224826546,2024-07-01
0.1964915538708396,2024-08-01
0.12016405084190479,2024-09-01
0.6721203634125942,2024-10-01
-0.12578345031293858,2024-11-01
0.581041093152705,2024-12-01
-0.15689877036719313,2025-01-01
-0.17584279406004766,2025-02-01
0.3796519292938956,2025-03-01
0.37928654277517193,2025-04-01
0.37484005773651086,2025-05-01
0.7100092152023849,2025-06-01
0.7152547061948833,2025-07-01
0.04473794566967104,2025-08-01
0.04294824363132543,2025-09-01
0.7093820027669031,2025-10-01
0.04414101098251433,2025-11-01
0.37720031309816493,2025-12-01
0.0023218640977108462,2026-01-01
0.0034794858468913947,2026-02-01
0.16739300801466633,2026-03-01
0.4861477358713351,2026-04-01
-0.14493402297144553,2026-05-01
1.5440044424506705,2026-06-01
0.5265328624964227,2026-07-01
-0.1085369469960189,2026-08-01
-0.031412383901554985,2026-09-01
0.7499884663842491,2026-10-01
0.21268416307476895,2026-11-01
0.17395099082747778,2026-12-01
