¸¶Æ÷±¸,Date
0.7144422662595707,2023-01-01
-0.00780923299801195,2023-02-01
-0.38178882694217325,2023-03-01
-0.2305174810811893,2023-04-01
1.1671100186720547,2023-05-01
0.670733257595696,2023-06-01
0.4028770499422108,2023-07-01
1.0643893621510914,2023-08-01
0.3415188837143133,2023-09-01
-0.6761468958825512,2023-10-01
1.08920606987422,2023-11-01
0.9520360778539859,2023-12-01
0.7246194158569764,2024-01-01
-0.07651519291379716,2024-02-01
0.28146179259517473,2024-03-01
0.21366043007353855,2024-04-01
0.00754534214700836,2024-05-01
0.7480882617499345,2024-06-01
0.38514212245040286,2024-07-01
1.0522951588441194,2024-08-01
0.41263891178895196,2024-09-01
0.9347241026706621,2024-10-01
0.056717536383610434,2024-11-01
0.1094949964303567,2024-12-01
0.7575950178271693,2025-01-01
0.20159031121041604,2025-02-01
0.08812574098208553,2025-03-01
0.08544551432736386,2025-04-01
0.42070037621090317,2025-05-01
0.7564517297694837,2025-06-01
0.42275187042846374,2025-07-01
1.0893516425272822,2025-08-01
0.42434369835004393,2025-09-01
0.4196237620355566,2025-10-01
0.41804338159009485,2025-11-01
0.42366153010774643,2025-12-01
0.7842963813953188,2026-01-01
0.14383001436409837,2026-02-01
-0.103627006379998,2026-03-01
-0.03321490750742678,2026-04-01
0.8368118438021013,2026-05-01
0.7601467921850763,2026-06-01
0.45811388134077213,2026-07-01
1.1228209632869683,2026-08-01
0.4300190005186326,2026-09-01
-0.08806749623280197,2026-10-01
0.791765040845211,2026-11-01
0.7341005267199945,2026-12-01
