°­¼­±¸,Date
0.5569912175577864,2023-01-01
0.008028784902067154,2023-02-01
0.9244454146543181,2023-03-01
1.3476315111566182,2023-04-01
-0.32342674237220215,2023-05-01
0.48512988842978744,2023-06-01
0.101999786904023,2023-07-01
-1.0548055199656543,2023-08-01
3.906238023837213,2023-09-01
-0.12679804078287849,2023-10-01
2.189235709810246,2023-11-01
-1.5992307164415696,2023-12-01
0.807591918726691,2024-01-01
-0.07522162106113228,2024-02-01
0.25985488073897856,2024-03-01
0.03444427197983424,2024-04-01
0.8713466225136969,2024-05-01
-0.02887577448909473,2024-06-01
1.1609641903941113,2024-07-01
1.7716628844058984,2024-08-01
-0.22058837089737215,2024-09-01
0.7710495736088797,2024-10-01
0.6091514878302704,2024-11-01
1.5131871137889363,2024-12-01
0.30948160273635783,2025-01-01
0.4126554209777964,2025-02-01
0.547874222260075,2025-03-01
0.5532210910269857,2025-04-01
0.5535626862503034,2025-05-01
0.21937151936093513,2025-06-01
0.8879448154673426,2025-07-01
0.8772138067372661,2025-08-01
1.2145335322399835,2025-09-01
0.5565750212647864,2025-10-01
1.224399898557989,2025-11-01
0.553392844815336,2025-12-01
0.5364185725442387,2026-01-01
0.316108328584634,2026-02-01
0.842257542377024,2026-03-01
1.0638398309477146,2026-04-01
0.2279185982804326,2026-05-01
0.46341319090858635,2026-06-01
0.6074602449591029,2026-07-01
0.0075095742559458944,2026-08-01
2.663297290430201,2026-09-01
0.33006697147832764,2026-10-01
1.8239143276155423,2026-11-01
-0.41172458469731277,2026-12-01
