°­ºÏ±¸,Date
1.5813280459811874,2023-01-01
0.1566963291170438,2023-02-01
1.364898030698054,2023-03-01
-0.1384193711022883,2023-04-01
-0.623006952766074,2023-05-01
0.16092065414684698,2023-06-01
0.8790923037428855,2023-07-01
2.8117849664194816,2023-08-01
0.05929175708121748,2023-09-01
-0.6916299094547077,2023-10-01
-0.15012679940311768,2023-11-01
-0.25142284538251014,2023-12-01
2.283670211805724,2024-01-01
0.20345477653838656,2024-02-01
0.6710961714104995,2024-03-01
0.41814816037653113,2024-04-01
1.1764431600399274,2024-05-01
0.29508199253298617,2024-06-01
0.9380883337955517,2024-07-01
-0.04765430682123206,2024-08-01
0.3091151550187156,2024-09-01
1.2021689988856912,2024-10-01
0.44451542680811895,2024-11-01
0.502818331169935,2024-12-01
0.5566182647188251,2025-01-01
0.4150787281562365,2025-02-01
1.0311014897230382,2025-03-01
0.36628381508603797,2025-04-01
0.6942613455982598,2025-05-01
0.3574368575628225,2025-06-01
1.0235416277998648,2025-07-01
1.0300991219025735,2025-08-01
0.3704443621756067,2025-09-01
0.6979633744392696,2025-10-01
0.3601992749359795,2025-11-01
0.3572034723221176,2025-12-01
1.247061829019842,2026-01-01
0.4687989794854703,2026-02-01
1.3832682887312169,2026-03-01
0.3014824180507425,2026-04-01
0.21501204325385537,2026-05-01
0.4334749887813973,2026-06-01
1.1248066811463437,2026-07-01
2.104451918468654,2026-08-01
0.4080131841140806,2026-09-01
0.18724732224921992,2026-10-01
0.2826469943248886,2026-11-01
0.2265643444777261,2026-12-01
