³ë¿ø±¸,Date
0.006725482129173732,2023-01-01
-0.03145821269599197,2023-02-01
2.033886379243979,2023-03-01
-0.5096805271289729,2023-04-01
-0.9517491335218324,2023-05-01
1.2510966447115355,2023-06-01
1.1165318880428872,2023-07-01
0.582407233961562,2023-08-01
-0.31973006459301057,2023-09-01
1.6109310199746796,2023-10-01
-0.18157355538897077,2023-11-01
-0.04993157767749745,2023-12-01
-0.01924207212129808,2024-01-01
-0.10364820183756929,2024-02-01
0.060678094624911486,2024-03-01
0.32311907796155365,2024-04-01
1.0685873621887143,2024-05-01
-0.0297278490873035,2024-06-01
1.02382299035335,2024-07-01
0.2898598368109634,2024-08-01
0.7494235640486125,2024-09-01
-0.22284478263652907,2024-10-01
1.1680465951393382,2024-11-01
0.11586490462425364,2024-12-01
0.15605771510359087,2025-01-01
0.22727262521300326,2025-02-01
0.7539690623169647,2025-03-01
0.09133260013521485,2025-04-01
0.4156563870411016,2025-05-01
0.4145100848146407,2025-06-01
1.0856514818145242,2025-07-01
0.4200828323705416,2025-08-01
0.4173611309224716,2025-09-01
0.420298928656232,2025-10-01
0.7556401392048961,2025-11-01
0.0848913323931737,2025-12-01
0.12227926432809647,2026-01-01
0.13592267131726543,2026-02-01
1.4404808132302585,2026-03-01
-0.15782737934380794,2026-04-01
-0.22949254749621711,2026-05-01
0.8701015825278414,2026-06-01
1.1451590331973864,2026-07-01
0.5461641168108767,2026-08-01
0.08945022531054478,2026-09-01
1.0602705469537324,2026-10-01
0.33418294920638447,2026-11-01
0.05810189464881915,2026-12-01
