Á¾·Î,Date
0.07576432015103943,2023-01-01
-0.47835360347682465,2023-02-01
-0.03698688174609354,2023-03-01
-0.5016925506925278,2023-04-01
0.26107617946997,2023-05-01
-0.04822348179897429,2023-06-01
0.2216467114595977,2023-07-01
-0.5644733888162465,2023-08-01
1.246232906680306,2023-09-01
-0.25936369302201673,2023-10-01
-0.6808482514595153,2023-11-01
-0.37829358591073675,2023-12-01
0.08284525844948337,2024-01-01
-0.8039429429265786,2024-02-01
-0.7662477040490551,2024-03-01
-0.03159408534819358,2024-04-01
-0.9147485304044715,2024-05-01
0.23451281431525717,2024-06-01
0.608082789141157,2024-07-01
0.012895272182099182,2024-08-01
-0.9008430004996795,2024-09-01
-0.6669442742978743,2024-10-01
0.5545554625603497,2024-11-01
-0.5855261602999162,2024-12-01
-0.7184926079873091,2025-01-01
-0.609744787469303,2025-02-01
-0.7828989169335985,2025-03-01
-0.4500778850670145,2025-04-01
-0.7823923571678868,2025-05-01
-0.11355213633266159,2025-06-01
0.21755918719458234,2025-07-01
-0.45323402736772744,2025-08-01
-0.4504018444696046,2025-09-01
-0.7774690001925132,2025-10-01
-0.1142517660319527,2025-11-01
-0.7854952921490075,2025-12-01
-0.7131557403702463,2026-01-01
-0.9353479253919106,2026-02-01
-0.8006389071898005,2026-03-01
-0.8676902418444545,2026-04-01
-0.6512312552135467,2026-05-01
-0.46872460098398283,2026-06-01
-0.17223797669932628,2026-07-01
-0.9066191007765617,2026-08-01
0.004656410330209804,2026-09-01
-0.9024416865193227,2026-10-01
-0.7871032584652262,2026-11-01
-0.9773182202698758,2026-12-01
