±¸·Î±¸,Date
2.3967065208526988,2023-01-01
0.3753552295797822,2023-02-01
2.071171955604731,2023-03-01
-1.5865501938781046,2023-04-01
2.6716043103408964,2023-05-01
1.268563690076411,2023-06-01
0.46104214451717007,2023-07-01
0.5193785127134973,2023-08-01
0.49121127562343136,2023-09-01
0.6580023925620856,2023-10-01
0.07411058926314584,2023-11-01
-0.15803860048083962,2023-12-01
3.095322266399538,2024-01-01
0.528831471327051,2024-02-01
0.7563697036364971,2024-03-01
2.6051157261644087,2024-04-01
0.4886580606858127,2024-05-01
1.6703579232013643,2024-06-01
0.5802428343616903,2024-07-01
0.5503879959054678,2024-08-01
0.5630259812903795,2024-09-01
0.979280079186153,2024-10-01
0.7740826685237993,2024-11-01
0.9020129158205953,2024-12-01
1.8239735203928273,2025-01-01
0.8735332511478586,2025-02-01
1.4818111210183353,2025-03-01
1.4754833586014409,2025-04-01
1.4707886681378595,2025-05-01
1.8111358949154914,2025-06-01
0.8102223282680583,2025-07-01
0.8109333345848162,2025-08-01
0.8119120976423059,2025-09-01
1.1461833205289078,2025-10-01
0.8120278904322185,2025-11-01
0.8078412826151075,2025-12-01
2.5124983351439703,2026-01-01
1.0299261382560556,2026-02-01
2.1900199357769594,2026-03-01
0.34772084153737337,2026-04-01
2.46850018160265,2026-05-01
1.9471201449319442,2026-06-01
1.0403796370512155,2026-07-01
1.0705006144180456,2026-08-01
1.057865231746631,2026-09-01
1.3089269298689186,2026-10-01
0.8484768420368974,2026-11-01
0.7242878551960261,2026-12-01
