±¤Áø±¸,Date
-0.5451964002437851,2023-01-01
-0.3548976975996818,2023-02-01
1.139335994865171,2023-03-01
-1.2533601417478475,2023-04-01
-0.10028473336855248,2023-05-01
0.22673130046068035,2023-06-01
0.213021473920457,2023-07-01
-0.3891468566543951,2023-08-01
-1.1854669784276437,2023-09-01
-0.5006686795063893,2023-10-01
-0.3345020616248181,2023-11-01
0.26782690064061154,2023-12-01
-0.8576981352674237,2024-01-01
-0.8612750931485047,2024-02-01
-1.1068627373913746,2024-03-01
1.091973029207211,2024-04-01
-0.46053161851919455,2024-05-01
-1.134309269518297,2024-06-01
-0.6398949035537369,2024-07-01
-0.8447562067712729,2024-08-01
0.06242041602672854,2024-09-01
-0.7694463873742814,2024-10-01
-0.8562108136006571,2024-11-01
-0.6654253914273341,2024-12-01
-0.9635197639333212,2025-01-01
-0.3553687808915893,2025-02-01
-0.6912389437216349,2025-03-01
-0.025617565472192627,2025-04-01
-0.6994410250192702,2025-05-01
-1.029313477663766,2025-06-01
-0.691814526571604,2025-07-01
-1.0235503224393236,2025-08-01
-0.6935377696968076,2025-09-01
-1.0314763810242766,2025-10-01
-1.0306320523448447,2025-11-01
-0.6951140218224774,2025-12-01
-1.265879131371493,2026-01-01
-0.8716353012399227,2026-02-01
-0.2850602231959982,2026-03-01
-1.150388031240991,2026-04-01
-0.9220934543081362,2026-05-01
-0.9181782194035253,2026-06-01
-0.7501000779627572,2026-07-01
-1.2143928136720872,2026-08-01
-1.4524066007428431,2026-09-01
-1.2846322029027937,2026-10-01
-1.199388187592308,2026-11-01
-0.7266459618587611,2026-12-01
