¼ÛÆÄ±¸,Date
-0.205874741746377,2023-01-01
1.2503317344805547,2023-02-01
-0.4911884316649915,2023-03-01
0.2582826314758597,2023-04-01
-0.39369588221334256,2023-05-01
0.8537899155979238,2023-06-01
0.35968303095050624,2023-07-01
-0.7815873827343431,2023-08-01
0.05921754235264537,2023-09-01
0.6226175110404545,2023-10-01
1.5632149344042845,2023-11-01
0.2874577520252219,2023-12-01
-0.7320207458886354,2024-01-01
1.4127529865568174,2024-02-01
0.1905526801982463,2024-03-01
-0.6819812606464581,2024-04-01
0.14226468054644856,2024-05-01
0.018842740457330587,2024-06-01
-0.24296938468712648,2024-07-01
0.3337605034138905,2024-08-01
-0.07754640700228005,2024-09-01
0.6381168623751545,2024-10-01
0.16066505800185973,2024-11-01
0.28985912906484734,2024-12-01
0.29650105571141144,2025-01-01
0.37484573126308146,2025-02-01
-0.22343166984256485,2025-03-01
-0.5556057881014503,2025-04-01
-0.22264544619908433,2025-05-01
0.10924000729751984,2025-06-01
-0.21882354297203938,2025-07-01
-0.2207499742899549,2025-08-01
-0.223456104829435,2025-09-01
0.4404859389163422,2025-10-01
0.4431557047230171,2025-11-01
0.11376223744425776,2025-12-01
-0.23382113017659933,2026-01-01
0.5333920614209303,2026-02-01
-0.6362011376565521,2026-03-01
-0.427578398309473,2026-04-01
-0.5867935034032454,2026-05-01
0.20218579747725063,2026-06-01
-0.20335987393432814,2026-07-01
-0.7781406020439472,2026-08-01
-0.3633687694458615,2026-09-01
0.2498857859005609,2026-10-01
0.7253747158983038,2026-11-01
-0.07251263450266632,2026-12-01
