¿ë»ê,Date
0.1693745818907515,2023-01-01
1.3047181084554982,2023-02-01
0.9288862359350754,2023-03-01
-1.0230682787543277,2023-04-01
1.2776608748056495,2023-05-01
1.475260161313178,2023-06-01
-0.3968973806077549,2023-07-01
-0.3802448888939043,2023-08-01
4.080265130485005,2023-09-01
-0.8132386597168755,2023-10-01
-0.3945375135874263,2023-11-01
0.694923333777028,2023-12-01
0.1912474574818639,2024-01-01
2.0120121423451462,2024-02-01
1.0210409789340817,2024-03-01
1.517262803544136,2024-04-01
0.37855119631819245,2024-05-01
0.2582460456986133,2024-06-01
1.1960367803042358,2024-07-01
1.216853750233287,2024-08-01
-0.03708652009576885,2024-09-01
1.3914684650182756,2024-10-01
0.7084771945015645,2024-11-01
0.6656164079891423,2024-12-01
0.6602974988663838,2025-01-01
0.398662107781411,2025-02-01
1.1757118792933445,2025-03-01
0.8362316379434854,2025-04-01
0.8321601195855215,2025-05-01
0.8398183422809827,2025-06-01
0.8402865676033635,2025-07-01
0.8309513408464464,2025-08-01
1.50563858424817,2025-09-01
0.8460127003223186,2025-10-01
0.5041643742882203,2025-11-01
0.8361081751389101,2025-12-01
0.6619525118490905,2026-01-01
1.1029476329960912,2026-02-01
1.3130860222747587,2026-03-01
0.15729371119305902,2026-04-01
1.300087225372515,2026-05-01
1.4137680680910132,2026-06-01
0.47724737802529704,2026-07-01
0.46661331392647876,2026-08-01
3.0466614807040386,2026-09-01
0.27904672487825666,2026-10-01
0.3044286222911181,2026-11-01
1.0139799545259345,2026-12-01
