Áß±¸,Date
-0.03982638535602659,2023-01-01
-0.16825740230015118,2023-02-01
-0.04469084256968338,2023-03-01
0.3801038487487468,2023-04-01
0.17348776761542775,2023-05-01
0.6375700839275766,2023-06-01
-0.46257077871233415,2023-07-01
-0.1796297885057774,2023-08-01
-0.1553006060340848,2023-09-01
-0.6722945871088404,2023-10-01
-0.4682000716308069,2023-11-01
1.6488887798566991,2023-12-01
-0.27691495634322205,2024-01-01
-0.5830360349930039,2024-02-01
1.3222485680601963,2024-03-01
-0.8879843669808328,2024-04-01
-0.7997882422863578,2024-05-01
-0.03990273841818301,2024-06-01
0.5165935865442896,2024-07-01
-0.6186485468803233,2024-08-01
-0.6388067833440021,2024-09-01
0.12347481615289108,2024-10-01
0.03643360515383948,2024-11-01
-1.0368245968448355,2024-12-01
-0.32764120686341236,2025-01-01
-0.07943764812479379,2025-02-01
0.6189198186040895,2025-03-01
-0.716341441900724,2025-04-01
-0.7109703313796113,2025-05-01
-0.04133125507243812,2025-06-01
-0.04400970190736653,2025-07-01
-0.7134678298640313,2025-08-01
-0.7109928727914235,2025-09-01
-0.37915685312488173,2025-10-01
-0.38465126132907973,2025-11-01
-0.37962291240744417,2025-12-01
-0.5313132280397088,2026-01-01
-0.4747981868350612,2026-02-01
-0.07419252502457058,2026-03-01
-0.5308012978452995,2026-04-01
-0.6236570255805005,2026-05-01
-0.05270896855455515,2026-06-01
-0.6077984655840885,2026-07-01
-0.8043996718148874,2026-08-01
-0.7870860601671308,2026-09-01
-0.8818181072120178,2026-10-01
-0.7901727304244615,2026-11-01
0.27865553358080086,2026-12-01
