°ü¾Ç±¸,Date
0.28803082101829985,2023-01-01
0.5597587817315444,2023-02-01
0.5508088524634971,2023-03-01
2.6636947420732406,2023-04-01
0.14112666611390134,2023-05-01
0.540149121128203,2023-06-01
1.3104887924301158,2023-07-01
0.857369067370651,2023-08-01
0.6177771193021379,2023-09-01
0.9309212727655046,2023-10-01
2.106844272108955,2023-11-01
0.7951420347722795,2023-12-01
0.336261459128986,2024-01-01
0.5267726258945076,2024-02-01
0.9861719628444873,2024-03-01
0.9179977866116026,2024-04-01
0.6670473770972338,2024-05-01
1.9808960002291256,2024-06-01
1.1034017383659525,2024-07-01
0.8240025712116646,2024-08-01
0.943431125787447,2024-09-01
1.795661796875475,2024-10-01
0.7015052092522029,2024-11-01
1.3462104956689789,2024-12-01
0.9333467986010953,2025-01-01
1.3842434997160857,2025-02-01
1.079914072605819,2025-03-01
1.751315414357277,2025-04-01
0.7561847272966222,2025-05-01
1.751698839534865,2025-06-01
1.4172144288057766,2025-07-01
1.086470696952333,2025-08-01
1.0872967993606502,2025-09-01
1.7511249624918797,2025-10-01
1.419907545699985,2025-11-01
1.4231898042898594,2025-12-01
0.9888195003873466,2026-01-01
1.3473718510915855,2026-02-01
1.1856490483878783,2026-03-01
2.58428910034646,2026-04-01
0.8316870780821322,2026-05-01
1.5221257646679704,2026-06-01
1.737094175913465,2026-07-01
1.3484571361054536,2026-08-01
1.2295551210795301,2026-09-01
1.713677657534082,2026-10-01
2.1393698122025278,2026-11-01
1.4903165182467784,2026-12-01
