º≠√ ±∏,Date
1.035387941848667,2023-01-01
0.7452901549315486,2023-02-01
0.6152161302826336,2023-03-01
1.122404799332769,2023-04-01
-0.5059696752642822,2023-05-01
1.9340302916608034,2023-06-01
0.6237249701391654,2023-07-01
-0.13520261994436833,2023-08-01
2.1294315909046793,2023-09-01
0.17124847064743132,2023-10-01
0.5015758176259906,2023-11-01
0.07121721531047798,2023-12-01
1.7663872844419721,2024-01-01
0.5293990405946911,2024-02-01
0.8362376382117359,2024-03-01
0.5743473738560323,2024-04-01
0.8941213439510621,2024-05-01
0.6735318087330437,2024-06-01
0.8143791959673025,2024-07-01
1.2051340041636822,2024-08-01
1.575098579639148,2024-09-01
0.5493435358022227,2024-10-01
0.38377859367097367,2024-11-01
1.106929072607229,2024-12-01
0.2031668575510469,2025-01-01
1.7898340884102408,2025-02-01
0.9687026211853089,2025-03-01
0.9709522057379798,2025-04-01
0.6350869931685114,2025-05-01
1.3019109318515996,2025-06-01
0.972339328523594,2025-07-01
0.9685806582065399,2025-08-01
1.967934651048735,2025-09-01
0.6357764835654455,2025-10-01
0.636220061004074,2025-11-01
0.9681684512495135,2025-12-01
0.9377254050537238,2026-01-01
1.5891047897172734,2026-02-01
1.106795312767383,2026-03-01
1.3654757695964275,2026-04-01
0.3800837263851592,2026-05-01
1.93401330184315,2026-06-01
1.1205735258925564,2026-07-01
0.7334609586866684,2026-08-01
2.364546199808278,2026-09-01
0.7215253512143951,2026-10-01
0.887281729333852,2026-11-01
0.8346663304982336,2026-12-01
