자치구,20년_범죄율,21년_범죄율,22년_범죄율,총범죄건수
강남구,0.3491574290401153,0.3055127504101009,0.3453298205497838,20117
강동구,0.329812096849584,0.3232682060390763,0.3469196971113396,10697
강북구,0.3513206116517123,0.2907873120181979,0.3578920763300897,7913
강서구,0.3270697381869644,0.306313389417407,0.3666168723956285,12719
관악구,0.4322859578614054,0.2706125928632322,0.2971014492753623,16422
광진구,0.3363681345868382,0.3054923305294408,0.3581395348837209,10105
구로구,0.35880195599022,0.30440097799511,0.3367970660146699,11452
금천구,0.3563454382137816,0.3129731810599255,0.3306813807262928,7793
노원구,0.3655010744285993,0.3345379957022856,0.299960929869115,10238
도봉구,0.275610369997483,0.2340800402718348,0.4903095897306821,7946
동대문구,0.3963782696177062,0.3502189608237661,0.2534027695585276,8449
동작구,0.3572208870439152,0.287415337557352,0.3553637753987328,9154
마포구,0.3544238683127572,0.3641975308641975,0.2813786008230453,9720
서대문구,0.2799367374604609,0.2573429733393583,0.4627202892001807,8852
서초구,0.1845841784989858,0.4943881000676132,0.3210277214334009,7395
성동구,0.2812294902647123,0.2310216582804637,0.4877488514548239,9142
성북구,0.4064191802010827,0.3107759731889662,0.282804846609951,7758
송파구,0.3501052354643514,0.3100499868455669,0.3398447776900815,15204
양천구,0.3258475962062575,0.3286820015262182,0.3454704022675242,9173
영등포구,0.3675850435760472,0.2937166151251054,0.3386983412988473,14228
용산구,0.3594442448197389,0.2851838543538148,0.3553719008264462,8349
은평구,0.3652395322519803,0.3059222934741606,0.3288381742738589,10604
종로구,0.3785870692635704,0.314624870346894,0.3067880603895355,8677
중구,0.3537943008885711,0.2922071289960167,0.3539985701154121,9791
중랑구,0.3692323191617973,0.3233931090066492,0.3073745718315535,9926
