°­¼­±¸,Date
-0.00041579082835796477,2023-01-01
-0.35135181437733465,2023-02-01
0.8042624541507126,2023-03-01
0.0035863486376537523,2023-04-01
-1.2211645029365483,2023-05-01
0.6434258023443763,2023-06-01
1.4629283955298522,2023-07-01
-0.2262426566864022,2023-08-01
-0.45739178122676644,2023-09-01
-0.7333899744749216,2023-10-01
0.8447536335545415,2023-11-01
-0.10610329531316338,2023-12-01
0.04018301868883545,2024-01-01
-0.833563445808138,2024-02-01
-0.5005732786147457,2024-03-01
0.39209735917319744,2024-04-01
1.0321328181095526,2024-05-01
-0.8900003426727867,2024-06-01
-0.8271785820042873,2024-07-01
-0.49423364943320724,2024-08-01
-0.3757480504275623,2024-09-01
0.7764727313628788,2024-10-01
0.49784019173142474,2024-11-01
-1.0346906312670008,2024-12-01
-1.186106944489728,2025-01-01
-0.4870863533103794,2025-02-01
-0.4238949463597351,2025-03-01
-0.08763203868058889,2025-04-01
-0.09580389032338033,2025-05-01
-0.7663764338470562,2025-06-01
-0.42358554416597805,2025-07-01
-0.7534566698911229,2025-08-01
-0.7547367680670446,2025-09-01
-0.09396871456773537,2025-10-01
0.23584251763667408,2025-11-01
-1.0966626726899542,2025-12-01
-1.1379540964188721,2026-01-01
-0.9644866972731125,2026-02-01
-0.3531819435262635,2026-03-01
-0.5815957531036219,2026-04-01
-1.2115327201437254,2026-05-01
-0.6194059774526173,2026-06-01
-0.024223509534849752,2026-07-01
-1.0283878262238564,2026-08-01
-1.146367463808762,2026-09-01
-0.9618272508603357,2026-10-01
-0.012875887134622177,2026-11-01
-1.1513334546144398,2026-12-01
