°­ºÏ±¸,Date
-0.6988441392443421,2023-01-01
0.01325959474124494,2023-02-01
-0.32657007684562145,2023-03-01
1.2303815283801,2023-04-01
-0.24848373153979167,2023-05-01
-1.7194590867511546,2023-06-01
2.263688218870106,2023-07-01
-1.1319426866442883,2023-08-01
2.34075841434226,2023-09-01
-0.8558752879102721,2023-10-01
-0.05909545943490052,2023-11-01
-0.5398007205771995,2023-12-01
-1.206408720444399,2024-01-01
-0.4111000258983566,2024-02-01
-0.9115829271598632,2024-03-01
-1.2072561873113798,2024-04-01
0.01668329452742684,2024-05-01
1.2837732153788428,2024-06-01
-0.7068858755567087,2024-07-01
0.48534587402088464,2024-08-01
-0.25163398445470386,2024-09-01
-0.16358938723759853,2024-10-01
-0.5538217745601524,2024-11-01
-0.8181806780533067,2024-12-01
-0.7701357518493682,2025-01-01
-0.20239743363051166,2025-02-01
-1.0886814521327277,2025-03-01
-0.7494192573519216,2025-04-01
-0.41023813230458694,2025-05-01
-0.08749712783971209,2025-06-01
-0.08725430584515725,2025-07-01
-0.4181854666415815,2025-08-01
0.2485586449679198,2025-09-01
-0.7474205808630563,2025-10-01
-0.7500881276793245,2025-11-01
-1.0823994906891237,2025-12-01
-1.2761269419806078,2026-01-01
-0.6399085909945867,2026-02-01
-1.2549753584917738,2026-03-01
-0.2980007347730982,2026-04-01
-0.8601470195515771,2026-05-01
-1.4503577912677261,2026-06-01
0.5417253986403441,2026-07-01
-1.318782899038486,2026-08-01
0.7515101809854257,2026-09-01
-1.339644668046433,2026-10-01
-0.9465866427772722,2026-11-01
-1.3510431885454826,2026-12-01
