°­µ¿±¸,Date
0.41065424799708355,2023-01-01
0.12990307938592982,2023-02-01
-0.00015041096026380263,2023-03-01
0.4701052802731328,2023-04-01
-0.033113141636866184,2023-05-01
1.5510544824415722,2023-06-01
0.22912555750994978,2023-07-01
0.47069365052517653,2023-08-01
0.6916737184512305,2023-09-01
-0.6729218611096343,2023-10-01
1.1176774107037075,2023-11-01
1.0526344135715828,2023-12-01
0.3832996755076796,2024-01-01
0.18926365325113031,2024-02-01
0.26228619014517524,2024-03-01
0.5258932660917415,2024-04-01
1.2885508841585098,2024-05-01
-0.005278624055757075,2024-06-01
0.1424711169286096,2024-07-01
0.5224829339257825,2024-08-01
0.9101752027990692,2024-09-01
1.1074739627220087,2024-10-01
0.2173332852556405,2024-11-01
0.23346053237646414,2024-12-01
0.7119821164315163,2025-01-01
0.2688924537072852,2025-02-01
0.2635640670188271,2025-03-01
0.5974569483689424,2025-04-01
0.9269750089460624,2025-05-01
0.5942420627844558,2025-06-01
0.26639300351208084,2025-07-01
0.5995059920209873,2025-08-01
0.9332902263334393,2025-09-01
0.5946752860473914,2025-10-01
0.5924980086614845,2025-11-01
0.5979730558009693,2025-12-01
0.6961637539216075,2026-01-01
0.3324064280073856,2026-02-01
0.26402320785329186,2026-03-01
0.666790815376662,2026-04-01
0.5742849537086586,2026-05-01
1.2011768532202665,2026-06-01
0.3833238158866261,2026-07-01
0.6702197020885252,2026-08-01
0.9483551059074902,2026-09-01
0.08898218630089616,2026-10-01
0.9806850877339446,2026-11-01
0.9591464949992277,2026-12-01
