±¤Áø±¸,Date
0.4522146702773019,2023-01-01
0.49433131360720506,2023-02-01
0.5380221358488977,2023-03-01
0.4057517347236894,2023-04-01
0.46567366897190027,2023-05-01
0.38156245312736076,2023-06-01
0.5221370045473217,2023-07-01
2.861795221206993,2023-08-01
-0.37726225961436344,2023-09-01
0.13449177228187004,2023-10-01
2.03066313466469,2023-11-01
1.4130266392173885,2023-12-01
0.6834140442920199,2024-01-01
0.7855973421443418,2024-02-01
1.1163137197463915,2024-03-01
0.6882458166868908,2024-04-01
0.659157645198646,2024-05-01
0.7023911439285377,2024-06-01
1.1381543437983408,2024-07-01
0.9502452478803958,2024-08-01
1.0697354344889112,2024-09-01
1.8335085464110517,2024-10-01
0.8842962252795132,2024-11-01
1.678388206386807,2024-12-01
0.8736614496215558,2025-01-01
0.7905456574040646,2025-02-01
1.2200245326151236,2025-03-01
0.8877203113266748,2025-04-01
0.8889927462594103,2025-05-01
0.8897121778011452,2025-06-01
1.2201281577659682,2025-07-01
1.8889679089027414,2025-08-01
0.8971956108262943,2025-09-01
1.5524549573655806,2025-10-01
1.553029448466414,2025-11-01
1.8887206877711322,2025-12-01
1.1059548507606034,2026-01-01
1.0862963072651906,2026-02-01
1.3223821906545674,2026-03-01
1.0887025791165423,2026-04-01
1.1196637218917171,2026-05-01
1.077920910823743,2026-06-01
1.3099765128096057,2026-07-01
2.8215423660594503,2026-08-01
0.7098927482910115,2026-09-01
1.2810995578012965,2026-10-01
2.2304481883442637,2026-11-01
2.095473526993162,2026-12-01
