영등포구,Date
0.7009957387361163,2023-01-01
0.7366596842206434,2023-02-01
0.5607753469899247,2023-03-01
-0.3251263156271238,2023-04-01
-0.5673753537108118,2023-05-01
-0.18344177970184183,2023-06-01
1.8919822472060672,2023-07-01
1.0931901648120603,2023-08-01
0.7440019531777239,2023-09-01
0.5602379794566413,2023-10-01
-0.816102997709683,2023-11-01
1.130571075176047,2023-12-01
0.8187618222880761,2024-01-01
0.8997900318286918,2024-02-01
-0.39479400989549074,2024-03-01
0.5462378821196454,2024-04-01
0.6842171182234975,2024-05-01
0.0015121298642014613,2024-06-01
0.9567244612742088,2024-07-01
0.34688546408882115,2024-08-01
0.013092433634469436,2024-09-01
1.1015269512804708,2024-10-01
0.8051300338282422,2024-11-01
0.8407404253336059,2024-12-01
0.3798349829986054,2025-01-01
0.3125127570886906,2025-02-01
-0.10064549947563062,2025-03-01
0.23326580035770944,2025-04-01
0.22789758605518576,2025-05-01
-0.10871544043805548,2025-06-01
1.2265212222654531,2025-07-01
0.5624147637782198,2025-08-01
0.23154862603143544,2025-09-01
0.8987162189562559,2025-10-01
0.2267248542142038,2025-11-01
0.8903059777745004,2025-12-01
0.4846670977406242,2026-01-01
0.4708381671104973,2026-02-01
0.18301455900004093,2026-03-01
-0.0922895236898027,2026-04-01
-0.2244778542114636,2026-05-01
-0.20538096511423143,2026-06-01
1.503454122790939,2026-07-01
0.7763677581603083,2026-08-01
0.4403227208856695,2026-09-01
0.6832032851154106,2026-10-01
-0.3488912052898002,2026-11-01
0.9519457475826574,2026-12-01
