±¸·Î±¸,Date
0.35787949890859316,2023-01-01
0.36051050034958987,2023-02-01
-0.5328501914327906,2023-03-01
1.3805649208694484,2023-04-01
1.6027729034960094,2023-05-01
-0.10810759438763462,2023-06-01
3.8358060506903797,2023-07-01
0.17074917816060275,2023-08-01
0.2489090090161511,2023-09-01
0.6635072898648433,2023-10-01
0.7475076243277674,2023-11-01
2.7568550727762666,2023-12-01
0.5789731822277299,2024-01-01
0.5793994371691208,2024-02-01
2.851668403267171,2024-03-01
0.4024400974526685,2024-04-01
0.7719268881835073,2024-05-01
0.6271651455324336,2024-06-01
1.654028315863438,2024-07-01
0.9621163935618251,2024-08-01
2.447615197541582,2024-09-01
1.2526486851854817,2024-10-01
1.215996116620023,2024-11-01
0.19360302978630428,2024-12-01
0.44085389481610693,2025-01-01
0.43820965133114487,2025-02-01
1.9076874315698424,2025-03-01
0.8983446714606101,2025-04-01
1.2398787947710825,2025-05-01
0.5687145137263496,2025-06-01
2.580893745574355,2025-07-01
0.912073248791145,2025-08-01
1.90944950765188,2025-09-01
1.233920981450415,2025-10-01
1.2316197164829177,2025-11-01
1.2372013709643794,2025-12-01
0.6945488858833666,2026-01-01
0.6963181333470658,2026-02-01
0.970528101228354,2026-03-01
1.4158679818843298,2026-04-01
1.7084027468464023,2026-05-01
0.5150900485689414,2026-06-01
3.4998442178099944,2026-07-01
0.839617695444017,2026-08-01
1.3676535339349383,2026-09-01
1.2288273937341456,2026-10-01
1.2669015341335448,2026-11-01
2.283413328886894,2026-12-01
