µµºÀ±¸,Date
0.14616809828502636,2023-01-01
0.2524182391725963,2023-02-01
2.146852100708179,2023-03-01
-0.5029490263716162,2023-04-01
-0.38319532994561656,2023-05-01
1.432438505450823,2023-06-01
-0.06324980449280138,2023-07-01
0.10683628620049379,2023-08-01
0.2197855028369147,2023-09-01
0.24439166097606088,2023-10-01
0.17524288576856833,2023-11-01
0.032439464332253615,2023-12-01
0.2140273367384287,2024-01-01
-0.00321945064314956,2024-02-01
0.22032527367527188,2024-03-01
0.535363559289828,2024-04-01
0.4923704404377841,2024-05-01
0.583632098275918,2024-06-01
0.3243524530940533,2024-07-01
0.24398566348337325,2024-08-01
0.18773728145275909,2024-09-01
0.17429641857406766,2024-10-01
0.207914383396949,2024-11-01
0.2804721228918245,2024-12-01
0.301259645670919,2025-01-01
1.0815110229021065,2025-02-01
0.9634742929334501,2025-03-01
0.298623743490564,2025-04-01
0.29261750716639995,2025-05-01
0.9618708505883845,2025-06-01
0.2959895462382672,2025-07-01
0.295113187475606,2025-08-01
0.29554627148997736,2025-09-01
0.29663068657645636,2025-10-01
0.29729992314814013,2025-11-01
0.2971306463247713,2025-12-01
0.37178419791522666,2026-01-01
0.8105798703474264,2026-02-01
1.704112644509697,2026-03-01
0.05068308601951471,2026-04-01
0.09891120343877932,2026-05-01
1.3431392070007115,2026-06-01
0.26502210731317727,2026-07-01
0.34763723491489107,2026-08-01
0.4044974217042012,2026-09-01
0.4182710221804445,2026-10-01
0.384665699492455,2026-11-01
0.3126774327650897,2026-12-01
