¿ë»ê±¸,Date
0.5710031557594183,2023-01-01
-0.006862352504457214,2023-02-01
-0.22976645559098363,2023-03-01
-0.19592006182021304,2023-04-01
-0.13332536946410822,2023-05-01
2.5748086332511546,2023-06-01
-0.029134910381623802,2023-07-01
-0.27835523668528506,2023-08-01
0.756739019870267,2023-09-01
2.056648758031634,2023-10-01
-0.6190465825815932,2023-11-01
-0.010600894982644049,2023-12-01
0.9142906499463971,2024-01-01
-0.04323139819634486,2024-02-01
0.14014798835999276,2024-03-01
0.12692115434243983,2024-04-01
0.10093189850310347,2024-05-01
1.2380881994768482,2024-06-01
0.02920648690592903,2024-07-01
1.1657593723121664,2024-08-01
0.6591178528412758,2024-09-01
0.4921364048686561,2024-10-01
0.8298894046524588,2024-11-01
0.04062982702066453,2024-12-01
-0.08818506246756236,2025-01-01
0.07416313333223867,2025-02-01
0.026989217802464216,2025-03-01
0.025706290846780777,2025-04-01
0.023563715130128893,2025-05-01
1.693163238103344,2025-06-01
0.030121699178041972,2025-07-01
0.6929048798254561,2025-08-01
0.689041485248393,2025-09-01
1.0281990987353886,2025-10-01
0.3618083416577186,2025-11-01
0.02339415954669888,2025-12-01
0.25453148233053224,2026-01-01
0.05007000847438664,2026-02-01
-0.08747790658455146,2026-03-01
-0.07306335287051535,2026-04-01
-0.0456064168848932,2026-05-01
2.1478104677670222,2026-06-01
0.019563150932504825,2026-07-01
0.2202603588326648,2026-08-01
0.7304985240831873,2026-09-01
1.5587678315584375,2026-10-01
-0.11240568418296681,2026-11-01
0.015210167504154715,2026-12-01
