±ÝÃµ±¸,Date
0.04976531770919644,2023-01-01
0.18931775934461637,2023-02-01
-0.3340184036762737,2023-03-01
0.6988322205117814,2023-04-01
-0.23280418082460416,2023-05-01
-0.10406103345802381,2023-06-01
-0.5151743550480445,2023-07-01
-0.4507621462710244,2023-08-01
-0.6212431979342382,2023-09-01
-0.060679188999275754,2023-10-01
1.4857330199046705,2023-11-01
0.33453718419636896,2023-12-01
-0.9783198486971674,2024-01-01
0.38516040057595147,2024-02-01
-0.11174542174727783,2024-03-01
-0.12778901056885328,2024-04-01
-0.6682104225032199,2024-05-01
-0.23317064104015087,2024-06-01
-0.5266696998426477,2024-07-01
-0.5601751797206928,2024-08-01
0.5341890078401106,2024-09-01
-0.736358364310332,2024-10-01
-1.030250650424738,2024-11-01
0.529088127199458,2024-12-01
1.3328083992204947,2025-01-01
-0.952586981998069,2025-02-01
-0.44798591209286337,2025-03-01
-0.11513875937032664,2025-04-01
-0.7798529504206358,2025-05-01
-0.4464256123853372,2025-06-01
-0.7810246216040975,2025-07-01
-0.7807800245350918,2025-08-01
-0.1174115272049136,2025-09-01
-0.7880014222390423,2025-10-01
-0.4477390891242945,2025-11-01
0.22538994836407017,2025-12-01
0.2993043810741428,2026-01-01
-0.7777884204262449,2026-02-01
-0.7826467311340848,2026-03-01
-0.10008351238454255,2026-04-01
-0.8952378377405779,2026-05-01
-0.6639641369448851,2026-06-01
-1.0378038534134406,2026-07-01
-1.0049457653102234,2026-08-01
-0.7632925912588914,2026-09-01
-0.8232397323349221,2026-10-01
0.1306642213283158,2026-11-01
-0.10009192477476425,2026-12-01
