³ë¿ø±¸,Date
0.5511809997693011,2023-01-01
-0.15597500144278675,2023-02-01
-0.36585917081980235,2023-03-01
0.7284647381626357,2023-04-01
-0.14504050758687004,2023-05-01
0.05361089626045498,2023-06-01
0.3315085290770887,2023-07-01
-0.27505863139691616,2023-08-01
1.1625883694278307,2023-09-01
-0.6664153667972119,2023-10-01
-0.4426631445012757,2023-11-01
0.3702980673033437,2023-12-01
0.571004275999299,2024-01-01
-0.2068058919156437,2024-02-01
0.291044338092221,2024-03-01
0.24336763566498448,2024-04-01
-0.3201637734801669,2024-05-01
0.07800585997433145,2024-06-01
0.4385029736761156,2024-07-01
-0.24901416248296593,2024-08-01
-0.4826385915632264,2024-09-01
0.42764308630565007,2024-10-01
0.332516264252147,2024-11-01
-0.5720572916006434,2024-12-01
0.10781716883519195,2025-01-01
-0.4656701916143958,2025-02-01
-0.06090387033140124,2025-03-01
0.269899452488655,2025-04-01
-0.39246859599812034,2025-05-01
-0.061027241705598784,2025-06-01
0.2694020166026526,2025-07-01
-0.3961108946969584,2025-08-01
-0.06085480432139055,2025-09-01
-0.059664874803845316,2025-10-01
-0.06539039723095742,2025-11-01
-0.39673883096624035,2025-12-01
0.13280529865659085,2026-01-01
-0.5061832247757853,2026-02-01
-0.4119086575867847,2026-03-01
0.2996736333551722,2026-04-01
-0.46603116505938286,2026-05-01
-0.2011283173546868,2026-06-01
0.10175721163246196,2026-07-01
-0.5367175091889305,2026-08-01
0.3557666125298569,2026-09-01
-0.5564435621499381,2026-10-01
-0.45586217663474166,2026-11-01
-0.21447416302855732,2026-12-01
