¼ºµ¿±¸,Date
-0.07387721320564476,2023-01-01
-0.15500517394103316,2023-02-01
0.927574952256905,2023-03-01
-0.08351614392825923,2023-04-01
0.6612945858330097,2023-05-01
-0.36045386168633947,2023-06-01
-0.4006902775677995,2023-07-01
-0.41744918542477527,2023-08-01
0.650166611938926,2023-09-01
1.8881120075541042,2023-10-01
-0.5936349154859706,2023-11-01
-0.8899322549357804,2023-12-01
-0.4513134049298723,2024-01-01
-0.1466330613204706,2024-02-01
-0.8892507311539295,2024-03-01
1.1212089186959548,2024-04-01
-0.752117730349195,2024-05-01
0.25181588531306565,2024-06-01
0.7885839192483839,2024-07-01
-0.19506043590780048,2024-08-01
-0.22950329468422734,2024-09-01
-0.37115405369199006,2024-10-01
-0.14374889820332734,2024-11-01
0.5215969947827532,2024-12-01
0.29545104933527583,2025-01-01
-0.5487304905547316,2025-02-01
-0.4176408963780813,2025-03-01
0.5849433192637126,2025-04-01
-0.4177768117817303,2025-05-01
-0.08054989391660261,2025-06-01
0.248584926020966,2025-07-01
-0.4240892964207476,2025-08-01
-0.08965344831491878,2025-09-01
0.25140845508017534,2025-10-01
-0.4134970761906872,2025-11-01
-0.08544204617917522,2025-12-01
-0.10464142145113225,2026-01-01
-0.5689294248732735,2026-02-01
0.048260246945928065,2026-03-01
0.04337866451697969,2026-04-01
-0.08645659472927741,2026-05-01
-0.42466560743479037,2026-06-01
-0.2879691928968806,2026-07-01
-0.6381959245776094,2026-08-01
0.06381171711280792,2026-09-01
0.8648696507976688,2026-10-01
-0.7034286733668242,2026-11-01
-0.6961258536658409,2026-12-01
