°­³²±¸,Date
0.9376378821329174,2023-01-01
0.7750149468122023,2023-02-01
0.8714948580483137,2023-03-01
0.07804934739787539,2023-04-01
2.3991626904993817,2023-05-01
3.8654850474962217,2023-06-01
-1.0095541473077747,2023-07-01
1.2931386274214847,2023-08-01
3.9445565734338413,2023-09-01
1.0375632435899522,2023-10-01
2.0342946041233514,2023-11-01
0.5423733258182439,2023-12-01
1.2592773144759806,2024-01-01
1.336748588237443,2024-02-01
1.7525249271084,2024-03-01
1.6647193471131447,2024-04-01
1.5063282998063605,2024-05-01
1.7423668022514436,2024-06-01
2.688716538177924,2024-07-01
1.5651722322250667,2024-08-01
2.217096252817574,2024-09-01
3.1714176626089507,2024-10-01
0.6753878256255743,2024-11-01
1.9159749132181045,2024-12-01
1.504192956877548,2025-01-01
0.8380801630834716,2025-02-01
1.8627380034945418,2025-03-01
1.5240582324637348,2025-04-01
2.189173259489204,2025-05-01
2.866403065055567,2025-06-01
1.8622671558334936,2025-07-01
1.8522223679654921,2025-08-01
3.1929491865060746,2025-09-01
2.8592200625830437,2025-10-01
1.524149010473919,2025-11-01
1.8604622812143872,2025-12-01
1.8146476456295106,2026-01-01
1.4040744588512686,2026-02-01
1.9666481972574807,2026-03-01
1.392709438119501,2026-04-01
2.884666962885749,2026-05-01
3.97204857204929,2026-06-01
1.0268225174309151,2026-07-01
2.1591915270410644,2026-08-01
4.166661624361251,2026-09-01
2.5454908862672374,2026-10-01
2.374936224962677,2026-11-01
1.8001903247065416,2026-12-01
