¼ÛÆÄ±¸,Date
0.7483034298389672,2023-01-01
-0.41110029376701673,2023-02-01
-0.5559796671704453,2023-03-01
1.2322141941825577,2023-04-01
-0.5622574104567173,2023-05-01
-0.03125776908015865,2023-06-01
-0.5133123193907624,2023-07-01
0.23347075925640487,2023-08-01
0.9025576151931,2023-09-01
0.13472724196491215,2023-10-01
-1.3052325743962365,2023-11-01
0.17272091580663712,2023-12-01
1.1671352065585445,2024-01-01
-0.7467579343634799,2024-02-01
-0.3118505585942995,2024-03-01
-0.21482968252568974,2024-04-01
0.6825280129253618,2024-05-01
-0.5759864067595285,2024-06-01
0.16769350307219053,2024-07-01
-0.7027810686538646,2024-08-01
-0.047913674119696756,2024-09-01
-0.6763474562179754,2024-10-01
1.0570068822115408,2024-11-01
-0.16159590421956177,2024-12-01
-0.6827817844280839,2025-01-01
-0.35587551411193785,2025-02-01
-0.5959134716620771,2025-03-01
0.07404260641192478,2025-04-01
0.07376305129597013,2025-05-01
-0.5952586132053099,2025-06-01
-0.2625180423569077,2025-07-01
-0.5965918736493756,2025-08-01
0.07386214368475924,2025-09-01
-0.5879586964957813,2025-10-01
0.07446365171675429,2025-11-01
-0.26579264104619077,2025-12-01
-0.26433163765751666,2026-01-01
-0.6765770762044607,2026-02-01
-0.8752114345739759,2026-03-01
0.3586095475046266,2026-04-01
-0.5392036914975209,2026-05-01
-0.6115980644894489,2026-06-01
-0.6874862088170086,2026-07-01
-0.4822927760378497,2026-08-01
0.192940159921838,2026-09-01
-0.5154702881060047,2026-10-01
-0.9111514840146134,2026-11-01
-0.35224886682844925,2026-12-01
