Á¾·Î±¸,Date
1.2736357581717679,2023-01-01
1.7474586293334338,2023-02-01
-0.8540808523293866,2023-03-01
-0.5127466329365462,2023-04-01
0.3167082718780587,2023-05-01
0.3248849434210763,2023-06-01
0.20232930151379536,2023-07-01
1.3073834663493957,2023-08-01
0.0329425501398366,2023-09-01
1.4130909659280657,2023-10-01
-0.7598115232496212,2023-11-01
-0.7699791876202515,2023-12-01
1.7505167347427442,2024-01-01
2.383202476357571,2024-02-01
0.8356240457223113,2024-03-01
0.6867299217816879,2024-04-01
-0.22418737849440262,2024-05-01
-0.23631690005863093,2024-06-01
-0.17990383296917722,2024-07-01
1.2655065793450846,2024-08-01
0.40784412877744225,2024-09-01
0.712475654626218,2024-10-01
0.29910943027585,2024-11-01
0.3224433005931408,2024-12-01
0.2850348624512862,2025-01-01
0.3629215759765775,2025-02-01
0.2605887870463629,2025-03-01
0.25365191524425423,2025-04-01
-0.080375469948051,2025-05-01
-0.07730950249760427,2025-06-01
-0.0750388536226132,2025-07-01
1.2592309012206213,2025-08-01
0.2577163492171446,2025-09-01
0.9256715938524919,2025-10-01
-0.07446479242397086,2025-11-01
-0.08179900467342338,2025-12-01
0.7340763481952927,2026-01-01
1.0229096274756588,2026-02-01
-0.3282971834953855,2026-03-01
-0.17180154794342917,2026-04-01
0.07454703889082537,2026-05-01
0.08443637979483531,2026-06-01
0.027025685418833767,2026-07-01
1.2477786267099957,2026-08-01
0.10729564532029101,2026-09-01
1.1338195742393116,2026-10-01
-0.4530224017136789,2026-11-01
-0.4714809247037246,2026-12-01
