¸¶Æ÷±¸,Date
-0.7465474795763889,2023-01-01
-0.02070997667557517,2023-02-01
-0.23103589954957982,2023-03-01
-0.11234891869249924,2023-04-01
-0.7699551937734548,2023-05-01
0.9943756384718487,2023-06-01
0.21125632207242873,2023-07-01
-1.6433756083873046,2023-08-01
0.016726394577077974,2023-09-01
-0.38175364618139535,2023-10-01
-0.697161504899877,2023-11-01
0.4525234911517525,2023-12-01
-1.691680439186231,2024-01-01
-0.3492680999370195,2024-02-01
-1.2563497232360143,2024-03-01
-0.3199774159902171,2024-04-01
0.023543614306540395,2024-05-01
-1.3634930405346324,2024-06-01
-0.4941536990654488,2024-07-01
0.9548708432864017,2024-08-01
-1.3612636847045707,2024-09-01
-1.1773755290594157,2024-10-01
-1.0190710141088895,2024-11-01
-1.105710003362176,2024-12-01
-0.24185067887236866,2025-01-01
-0.7074139397037824,2025-02-01
-1.3712014196040099,2025-03-01
-0.7020809809572248,2025-04-01
-0.7062898292921058,2025-05-01
-1.0376889210685531,2025-06-01
-0.6953769856726386,2025-07-01
-0.3689299199233489,2025-08-01
-1.3738422646512576,2025-09-01
-1.368885442742709,2025-10-01
-1.3692140074451158,2025-11-01
-1.0330425576064108,2025-12-01
-1.17606452171887,2026-01-01
-1.053040030525114,2026-02-01
-1.4858398926800849,2026-03-01
-1.0893890750676858,2026-04-01
-1.4273647901221558,2026-05-01
-0.7079886565988696,2026-06-01
-0.9167250457239444,2026-07-01
-1.6918445935198299,2026-08-01
-1.3709566454064626,2026-09-01
-1.5600794133275302,2026-10-01
-1.7183491891128022,2026-11-01
-0.9700232478217764,2026-12-01
