서대문구,Date
0.6554474650334909,2023-01-01
0.2416592737533456,2023-02-01
0.02871085876998758,2023-03-01
0.14460133198449304,2023-04-01
0.1972655407414617,2023-05-01
0.18575212612246547,2023-06-01
-0.1727595103657165,2023-07-01
0.03520903326251304,2023-08-01
-0.08012234756535594,2023-09-01
1.436134745556005,2023-10-01
-0.27668088216070563,2023-11-01
-0.2734909187383334,2023-12-01
0.6654022473698868,2024-01-01
0.1320570794074342,2024-02-01
-0.0629671083109962,2024-03-01
-0.12236500725209865,2024-04-01
-0.15196794889882498,2024-05-01
-0.15175817536329134,2024-06-01
1.0344841558769617,2024-07-01
-0.0617097815502059,2024-08-01
-0.004095793329418285,2024-09-01
0.22860448949709117,2024-10-01
0.07980002516585297,2024-11-01
0.08501330103809829,2024-12-01
0.5852215649892784,2025-01-01
0.4125659695130188,2025-02-01
-0.0527885391016923,2025-03-01
-0.052125011846668054,2025-04-01
-0.05062523586277402,2025-05-01
-0.048558850460247285,2025-06-01
0.6160959125191132,2025-07-01
-0.053364382982293554,2025-08-01
-0.05331537726174672,2025-09-01
0.6162874365914027,2025-10-01
-0.04859495393044304,2025-11-01
-0.051382506487089696,2025-12-01
0.5946785687648327,2026-01-01
0.3011453093745319,2026-02-01
-0.039243408656129686,2026-03-01
0.01988502775403353,2026-04-01
0.04881806074632511,2026-05-01
0.04693250971557487,2026-06-01
0.1964983776596811,2026-07-01
-0.038118332620891746,2026-08-01
-0.09566090857416133,2026-09-01
1.0019152138247767,2026-10-01
-0.18447102559585404,2026-11-01
-0.18797167820109723,2026-12-01
