Áß±¸,Date
0.02108737067119537,2023-01-01
0.17828178863317762,2023-02-01
0.21570440325627313,2023-03-01
1.7503064159147808,2023-04-01
-0.24309936965920098,2023-05-01
-0.02979680449523192,2023-06-01
0.22188579734271358,2023-07-01
0.16854206417169842,2023-08-01
1.085783945471563,2023-09-01
-0.17738391610969145,2023-10-01
0.22680120622504604,2023-11-01
-0.020814322963848997,2023-12-01
0.04070441573094327,2024-01-01
-0.05734185126801061,2024-02-01
-0.08223842161182193,2024-03-01
0.13481430803444722,2024-04-01
1.1305312511366836,2024-05-01
0.03535093679145543,2024-06-01
0.40846816887194903,2024-07-01
0.43945027225480104,2024-08-01
-0.025454898442124507,2024-09-01
0.09990274509259864,2024-10-01
0.40200566879090505,2024-11-01
0.02708433188421608,2024-12-01
-0.0067324493884866055,2025-01-01
0.6737087982685844,2025-02-01
0.014277586462071223,2025-03-01
0.6860637462682555,2025-04-01
0.6867727068929601,2025-05-01
0.016270775357315193,2025-06-01
0.3497136368143638,2025-07-01
0.34807970244110376,2025-08-01
0.35002680881799025,2025-09-01
0.0188970243002701,2025-10-01
0.35059907750198643,2025-11-01
0.016798983435098003,2025-12-01
0.01670071385552513,2026-01-01
0.4334600700065684,2026-02-01
0.11937315199491128,2026-03-01
1.2304492803585518,2026-04-01
0.23445962436228268,2026-05-01
0.00019694673686637687,2026-06-01
0.2931856955454391,2026-07-01
0.26347531532620855,2026-08-01
0.7262747174880043,2026-09-01
-0.06783632480233537,2026-10-01
0.29787006023028917,2026-11-01
0.006518073901145338,2026-12-01
