자치구,범죄건수_강간,범죄율_강간
강남구,39.9,6.7
강동구,11.1,4.2
강북구,14.9,6.3
강서구,22.5,7.1
관악구,15.3,6.5
광진구,6.8,2.3
구로구,8.2,3.5
금천구,5.9,3.4
노원구,12.3,5
도봉구,16.7,5.1
동대문구,0.9,0.9
동작구,5.7,2.6
마포구,11,5
서대문구,41.7,8.9
서초구,8.3,4.2
성동구,30,7.8
성북구,10.9,5.3
송파구,16.8,3.7
양천구,10.5,4.2
영등포구,16.4,4.8
용산구,27.9,8.5
은평구,7.3,2.9
종로구,-8.5,-5.4
중구,7.1,2.6
중랑구,24.5,15.4
