µø¿€±∏,Date
143.36748996205318,2023-01-01
103.96921170440896,2023-02-01
88.14677552487035,2023-03-01
103.97325309335854,2023-04-01
128.5215487402167,2023-05-01
171.545051581715,2023-06-01
149.21206778301638,2023-07-01
133.98459940864137,2023-08-01
115.62415085206561,2023-09-01
147.7086895022346,2023-10-01
136.35200807614933,2023-11-01
92.13559810158564,2023-12-01
162.34909203883458,2024-01-01
118.95139682602974,2024-02-01
128.33634374475812,2024-03-01
125.80775842685836,2024-04-01
149.80761736168716,2024-05-01
126.09555838772897,2024-06-01
136.74675163947157,2024-07-01
159.9880705309413,2024-08-01
134.00931639778037,2024-09-01
130.91603843441345,2024-10-01
127.77910540558648,2024-11-01
156.39111987607646,2024-12-01
114.33064480903172,2025-01-01
80.82669683452335,2025-02-01
117.80465177506984,2025-03-01
121.00913553546353,2025-04-01
144.9012398276416,2025-05-01
143.62592615464703,2025-06-01
143.79529975588534,2025-07-01
154.09848805673082,2025-08-01
130.31884736981908,2025-09-01
139.0132778246571,2025-10-01
133.45671167614674,2025-11-01
137.30072092366504,2025-12-01
132.4996623197612,2026-01-01
96.39909707593364,2026-02-01
106.9752120032725,2026-03-01
116.29857805580546,2026-04-01
140.37641216519168,2026-05-01
161.35397091965467,2026-06-01
150.52511082349395,2026-07-01
147.99972969089876,2026-08-01
126.7601313651746,2026-09-01
147.18489943443248,2026-10-01
138.88645781747235,2026-11-01
118.44825519936195,2026-12-01
