³ë¿ø±¸,Date
88.75145652169482,2023-01-01
84.82952769376843,2023-02-01
89.5281344987373,2023-03-01
78.70767340056425,2023-04-01
114.14704834298286,2023-05-01
115.31618656250087,2023-06-01
128.7764634365136,2023-07-01
133.19168893276583,2023-08-01
83.18769414460344,2023-09-01
117.3731985162069,2023-10-01
127.67463265809005,2023-11-01
72.22484365975914,2023-12-01
64.27585907685486,2024-01-01
74.7774404969331,2024-02-01
75.99469006777666,2024-03-01
76.17852844787139,2024-04-01
98.68543234562763,2024-05-01
87.65703721617109,2024-06-01
78.24052519354748,2024-07-01
96.72174507219177,2024-08-01
105.07279331597884,2024-09-01
56.56792884192909,2024-10-01
99.0016649174454,2024-11-01
83.49928538033205,2024-12-01
38.35876884018552,2025-01-01
4.5206744248682895,2025-02-01
47.334063718594166,2025-03-01
43.582539875334604,2025-04-01
70.19079571693337,2025-05-01
63.17527967232596,2025-06-01
61.592508983926194,2025-07-01
75.69444883336817,2025-08-01
64.24993344455903,2025-09-01
43.19878200233762,2025-10-01
75.33490790669245,2025-11-01
46.20837446685762,2025-12-01
13.134957972844717,2026-01-01
-5.5723961055769635,2026-02-01
18.355503440639577,2026-03-01
10.933417247745908,2026-04-01
41.85424560821366,2026-05-01
38.90720498667382,2026-06-01
44.9530809655237,2026-07-01
54.363494336022285,2026-08-01
23.461634209887013,2026-09-01
29.98193763534694,2026-10-01
51.40429603109453,2026-11-01
8.957039725567203,2026-12-01
