¾çÃµ±¸,Date
137.13372451638398,2023-01-01
108.3510774600193,2023-02-01
115.3043983639796,2023-03-01
142.19079765037654,2023-04-01
151.22053170292443,2023-05-01
149.13934008845868,2023-06-01
95.79192128587846,2023-07-01
163.92184909062144,2023-08-01
161.37999294111316,2023-09-01
110.28413094354497,2023-10-01
149.5600408008826,2023-11-01
166.4945417420781,2023-12-01
140.42379476487315,2024-01-01
119.2916409324017,2024-02-01
138.32577380581665,2024-03-01
141.51542742444906,2024-04-01
138.28827577182307,2024-05-01
147.0635254048428,2024-06-01
168.7915035846681,2024-07-01
143.619483701483,2024-08-01
97.14824155663908,2024-09-01
171.6246137313505,2024-10-01
151.96197446015418,2024-11-01
169.84889044970555,2024-12-01
151.78621339941367,2025-01-01
107.46850271410048,2025-02-01
137.6665798772624,2025-03-01
148.6228780866331,2025-04-01
149.68126437178248,2025-05-01
155.11213540853046,2025-06-01
151.2912747786512,2025-07-01
156.83482486630493,2025-08-01
125.80370376546692,2025-09-01
158.49536012277503,2025-10-01
158.01835925572223,2025-11-01
175.7209638173557,2025-12-01
154.93484539066304,2026-01-01
118.42170731866565,2026-02-01
136.9978863978746,2026-03-01
155.8555747938858,2026-04-01
161.0012334512036,2026-05-01
162.81014975094286,2026-06-01
133.95700368200926,2026-07-01
170.6122224190759,2026-08-01
154.22917524009353,2026-09-01
145.0500904325007,2026-10-01
164.2231294262608,2026-11-01
181.60947271097012,2026-12-01
