Á¾·Î±¸,Date
118.67277538531906,2023-01-01
85.61463787970916,2023-02-01
62.629721456503745,2023-03-01
97.99258954858774,2023-04-01
132.79916467783647,2023-05-01
134.42999906283546,2023-06-01
99.48527742510645,2023-07-01
133.1109356408333,2023-08-01
64.57933929723453,2023-09-01
114.60197329826548,2023-10-01
152.97485827923074,2023-11-01
77.97482782661928,2023-12-01
122.39926084761528,2024-01-01
73.88142340487747,2024-02-01
114.54783706705253,2024-03-01
78.25874651326625,2024-04-01
95.0068104789615,2024-05-01
91.83289583904431,2024-06-01
107.85132027429275,2024-07-01
78.27694825938912,2024-08-01
156.37400419815398,2024-09-01
86.69262019939596,2024-10-01
82.29566729685727,2024-11-01
100.23453604916885,2024-12-01
65.31558916852973,2025-01-01
61.913484503045225,2025-02-01
81.88144535719623,2025-03-01
69.09498749363291,2025-04-01
92.17583133447847,2025-05-01
90.96603365055948,2025-06-01
89.97024481633832,2025-07-01
81.74714082168705,2025-08-01
110.61151765646346,2025-09-01
80.04648473108053,2025-10-01
90.60793887427442,2025-11-01
77.64311979623486,2025-12-01
69.14979752368643,2026-01-01
51.13551587549928,2026-02-01
49.321843009512044,2026-03-01
60.42763768615086,2026-04-01
89.53317064793696,2026-05-01
89.92484622372682,2026-06-01
71.93599673157081,2026-07-01
84.78165877705365,2026-08-01
64.7562057562815,2026-09-01
74.10548182021557,2026-10-01
98.92989637052516,2026-11-01
54.97729232254598,2026-12-01
