¸¶Æ÷±¸,Date
151.90262352180866,2023-01-01
96.6663550009034,2023-02-01
66.9551868390765,2023-03-01
76.39970503883413,2023-04-01
113.57965379029042,2023-05-01
154.0965844997831,2023-06-01
92.32186594687558,2023-07-01
61.15531111667805,2023-08-01
156.89001254556607,2023-09-01
130.65695428354232,2023-10-01
84.52859378997601,2023-11-01
87.82211094940197,2023-12-01
167.06972951431945,2024-01-01
100.24495110744246,2024-02-01
105.68072164526907,2024-03-01
105.6116761773382,2024-04-01
90.2513008991765,2024-05-01
90.96522801080143,2024-06-01
100.58020956520434,2024-07-01
111.43854614387122,2024-08-01
58.88885693741306,2024-09-01
111.03967390873544,2024-10-01
151.12030449386214,2024-11-01
109.39520696414338,2024-12-01
78.86490666795704,2025-01-01
44.16577468433944,2025-02-01
78.52585623516008,2025-03-01
80.98372584609059,2025-04-01
82.93982132185806,2025-05-01
97.45908063635824,2025-06-01
83.56838468099708,2025-07-01
79.64035336489228,2025-08-01
76.69287243186008,2025-09-01
103.65646943697327,2025-10-01
114.48986976256981,2025-11-01
86.80281664808022,2025-12-01
93.21545602193594,2026-01-01
48.69053719172578,2026-02-01
50.97265548595017,2026-03-01
56.60215933490818,2026-04-01
76.08031578111814,2026-05-01
103.87178500055691,2026-06-01
66.17536680998847,2026-07-01
48.23620704949083,2026-08-01
94.7320504549226,2026-09-01
95.55881704408867,2026-10-01
77.64412191615642,2026-11-01
64.97018590715777,2026-12-01
