¼ººÏ±¸,Date
43.069190344292,2023-01-01
21.734130756949032,2023-02-01
-1.7647975861553036,2023-03-01
38.04823324387376,2023-04-01
71.27920464930462,2023-05-01
82.34937789250766,2023-06-01
92.49795512061505,2023-07-01
109.98602370176027,2023-08-01
-91.48079755100126,2023-09-01
126.43097688146123,2023-10-01
120.5703853095844,2023-11-01
103.22288742201924,2023-12-01
10.548829109001618,2024-01-01
-22.159469587957926,2024-02-01
30.206428351596756,2024-03-01
27.260655340131713,2024-04-01
-3.0717414811568435,2024-05-01
-7.150980650228739,2024-06-01
16.66486010439818,2024-07-01
-3.372255710815435,2024-08-01
233.74250907125318,2024-09-01
-13.506756894911481,2024-10-01
0.21261544479266714,2024-11-01
6.42737893464831,2024-12-01
-14.917460951404546,2025-01-01
-12.525066058611925,2025-02-01
-20.87720940633919,2025-03-01
-10.046329465209148,2025-04-01
-19.030561524772462,2025-05-01
-17.51779848997728,2025-06-01
2.3428742094484676,2025-07-01
-3.8348999483458996,2025-08-01
85.15747134908054,2025-09-01
-9.113605897448053,2025-10-01
-0.19338054691725404,2025-11-01
-0.8370880809345991,2025-12-01
-45.71146536429237,2026-01-01
-55.33839293625256,2026-02-01
-71.69075352432205,2026-03-01
-46.59975156042071,2026-04-01
-34.384542936773755,2026-05-01
-27.818154969026438,2026-06-01
-12.51535109535866,2026-07-01
-6.193857122014428,2026-08-01
-63.437709207827446,2026-09-01
-2.606489268942923,2026-10-01
-0.2026638979058788,2026-11-01
-8.705304882285482,2026-12-01
