ÀºÆò±¸,Date
147.66555154116597,2023-01-01
97.88787689313759,2023-02-01
76.20299081526719,2023-03-01
107.42014592303529,2023-04-01
119.28643854158517,2023-05-01
182.37621918708643,2023-06-01
162.330483517014,2023-07-01
232.3658805522283,2023-08-01
10.647388431068777,2023-09-01
180.5101118365177,2023-10-01
168.7372742887527,2023-11-01
114.97719365176216,2023-12-01
150.02163363787284,2024-01-01
89.30171892801005,2024-02-01
141.18109196092132,2024-03-01
117.16348578206167,2024-04-01
109.83190309582652,2024-05-01
103.35523076696693,2024-06-01
123.85241495817367,2024-07-01
97.91212214886875,2024-08-01
315.4232381696915,2024-09-01
85.3495420367602,2024-10-01
90.25457346661355,2024-11-01
97.81501971035627,2024-12-01
101.87081087499836,2025-01-01
73.0132978739826,2025-02-01
106.18762531922263,2025-03-01
100.01956109110458,2025-04-01
98.93994464453417,2025-05-01
116.02866861459948,2025-06-01
123.54262728301796,2025-07-01
131.0148455469637,2025-08-01
200.75285582397407,2025-09-01
102.0103669893976,2025-10-01
102.82973543857743,2025-11-01
90.31495180733772,2025-12-01
104.83856576350162,2026-01-01
65.68735630304444,2026-02-01
71.13141426541,2026-03-01
83.38083144062851,2026-04-01
88.70805099038756,2026-05-01
128.99454187806543,2026-06-01
122.99259305108441,2026-07-01
162.45438575912124,2026-08-01
85.73982877129725,2026-09-01
120.3488804411657,2026-10-01
115.61657608058164,2026-11-01
82.65541824730008,2026-12-01
